location_type,version,r,CI_lower,CI_upper
source,full,0.9336671190470756,0.9198227753884347,0.9451891847189201
source,purified,0.9439063385608528,0.932124009219737,0.9536924380034455
destination,full,0.7999624405403982,0.7616522681270465,0.8326997134935745
destination,purified,0.8714832396254371,0.845696148952591,0.8932101632012464
