UID,theta_overall,se_overall
A010,0.97076143875,0.6089492148119432
A011,0.07180207999999996,0.3824764612860365
A012,0.3549183125,0.49918028570027784
A013,-0.16506315,0.21727641515544965
A014,0.6169010075,0.493962331392615
A015,1.559498015,0.2740020664866281
A016,0.11325782150000002,0.5132575758383184
A017,0.3353329775,0.30647995977798226
A018,-0.10452744725000002,0.2121118571871802
A019,-1.13018943,0.2517854544675835
A020,-0.91300866125,0.4914303511319468
A021,0.79059709,0.20872167830344893
A022,0.1149351101,0.12445268471677345
A023,0.13347564975,0.282120230681082
A024,-0.04513158249999999,0.24666713461593662
A025,0.346842675,0.6229001774772709
A026,0.406870533,0.3071624950006246
A027,-0.05787567499999999,0.43310866635670536
A028,0.12858346,0.5027447936669663
A029,1.023111325,0.29706672632122677
A030,0.435349075,0.27845169949751636
A031,0.4143596645,0.6280757704801884
A032,0.7238456824999999,0.3433898234498138
A033,0.375180925,0.2864822065601281
A034,0.609261065,0.5104127745110876
A035,-0.20200146749999998,0.3671891516881495
A036,-0.05789503249999997,0.49603057845942516
A037,0.6399919475,0.3459457763473063
A038,0.496686178,0.34530962636896173
A039,1.19202671,0.3637246276339576
A040,-0.9150132424999999,0.44334004517853426
A041,0.109736675,0.4881583708358596
A042,-0.8263051475000001,0.2324086355842401
A043,0.4509235725,0.294052885486562
A044,-0.891856265,0.39859820814728697
A045,-1.07199485,0.07409542367628043
A046,-1.212762325,0.17749356600701224
A047,-1.026090325,0.2443316581050621
A048,0.31380509999999995,0.2578913781526892
A049,0.4953288965,0.5671924597838577
A050,-0.79420681,0.1577262294851366
A051,-0.03917359749999999,0.5285103809525743
A052,0.063437571,0.313301999830033
A053,0.45830460749999996,0.43430921076271123
A054,1.0196071075,0.16634483198138303
A055,0.10256029849999998,0.3143777022496434
A056,-0.07194886249999999,0.36970352459730677
A057,-0.51205133,0.34666343479869055
A058,-0.252483834,0.4701031601682077
A059,0.98987943,0.21410655322310196
A060,0.235626169,0.3865527465720073
A061,0.86492765,0.6097678238859543
A062,0.09019198499999995,0.5179856977181219
A063,0.293277165,0.3272711867531575
A064,0.30928356749999997,0.2529197503131992
A065,-1.9536738750000002,0.3263566094828947
A066,-0.5499262325000001,0.37886678589769407
A067,-0.82512955,0.49970746888802936
A068,0.37390792500000003,0.35305252211044175
A069,-1.1793972825,0.25189870107723955
A070,-0.21069506424999995,0.3494678419119364
A071,0.1962569325,0.4063091617231377
A072,0.07787222499999996,0.39227194043622954
A073,0.33634695950000004,0.35392550624793745
A074,-0.2549865725,0.5080559108583084
A075,-0.291115765,0.49053772009801233
A076,-1.220826245,0.4625046170029552
A077,0.48626458250000004,0.2990363922851181
A078,-0.49878498,0.32506457923752724
A079,-0.4405461125,0.33634593491669545
A080,0.05354647499999998,0.2857585954950754
A081,0.3615143925,0.25294565664478946
A082,0.4909304,0.2588724926786987
A083,0.7502973374999999,0.4353123664044483
A084,-0.0109190895,0.15998559688141784
A085,0.33935422249999997,0.48665224050285266
A086,-0.43033625999999997,0.4813982843736116
A087,0.5806797050000001,0.3388429761852066
A088,1.55795242,0.4734004392046186
A089,0.865113,0.27716127920897127
A090,-0.752913545,0.3840983252431396
A091,-0.373098455,0.3801416039785189
A092,-0.7275689125,0.2421636159773607
A093,0.48446266,0.10336663593297009
A094,-0.93752057,0.32280431803318804
A095,-0.013461817500000028,0.5274947391065654
A096,-1.325941315,0.3435050635144818
A097,0.142418974,0.2754358677792329
A098,0.35445072499999997,0.3880790201934553
A099,0.7514367825,0.33250973668292777
A100,0.2622341625,0.18932850502318374
A101,-1.1029622374999999,0.1677100307475964
A102,0.01133648850000002,0.3682794418102377
A103,-0.4859907875,0.768701520897883
A104,0.05959064250000001,0.721785626657722
A105,0.28618012000000004,0.18615868618312634
A106,0.6701173435000001,0.25741675329346475
A107,-1.15600219,0.1887418754498361
A108,-0.7731268499999999,0.20297632837370674
A109,-0.720264555,0.2786771999010296
