UID,rpm_score,rpm_standardized
A010,11,0.5866507965691717
A011,12,1.1058107935330401
A012,12,1.1058107935330401
A013,10,0.0674907996053033
A014,9,-0.4516691973585651
A015,12,1.1058107935330401
A016,12,1.1058107935330401
A017,10,0.0674907996053033
A018,11,0.5866507965691717
A019,8,-0.9708291943224335
A020,12,1.1058107935330401
A021,12,1.1058107935330401
A022,9,-0.4516691973585651
A023,7,-1.489989191286302
A024,12,1.1058107935330401
A025,9,-0.4516691973585651
A026,10,0.0674907996053033
A027,11,0.5866507965691717
A028,9,-0.4516691973585651
A029,10,0.0674907996053033
A030,11,0.5866507965691717
A031,11,0.5866507965691717
A032,11,0.5866507965691717
A033,12,1.1058107935330401
A034,12,1.1058107935330401
A035,12,1.1058107935330401
A036,12,1.1058107935330401
A037,12,1.1058107935330401
A038,11,0.5866507965691717
A039,12,1.1058107935330401
A040,11,0.5866507965691717
A041,10,0.0674907996053033
A042,8,-0.9708291943224335
A043,10,0.0674907996053033
A044,10,0.0674907996053033
A045,8,-0.9708291943224335
A046,7,-1.489989191286302
A047,4,-3.047469182177907
A048,12,1.1058107935330401
A049,12,1.1058107935330401
A050,10,0.0674907996053033
A051,11,0.5866507965691717
A052,11,0.5866507965691717
A053,10,0.0674907996053033
A054,10,0.0674907996053033
A055,6,-2.0091491882501704
A056,9,-0.4516691973585651
A057,11,0.5866507965691717
A058,11,0.5866507965691717
A059,12,1.1058107935330401
A060,8,-0.9708291943224335
A061,6,-2.0091491882501704
A062,12,1.1058107935330401
A063,11,0.5866507965691717
A064,12,1.1058107935330401
A065,7,-1.489989191286302
A066,10,0.0674907996053033
A067,11,0.5866507965691717
A068,12,1.1058107935330401
A069,7,-1.489989191286302
A070,10,0.0674907996053033
A071,12,1.1058107935330401
A072,12,1.1058107935330401
A073,9,-0.4516691973585651
A074,11,0.5866507965691717
A075,10,0.0674907996053033
A076,6,-2.0091491882501704
A077,11,0.5866507965691717
A078,8,-0.9708291943224335
A079,11,0.5866507965691717
A080,8,-0.9708291943224335
A081,6,-2.0091491882501704
A082,10,0.0674907996053033
A083,11,0.5866507965691717
A084,9,-0.4516691973585651
A085,10,0.0674907996053033
A086,12,1.1058107935330401
A087,9,-0.4516691973585651
A088,9,-0.4516691973585651
A089,12,1.1058107935330401
A090,7,-1.489989191286302
A091,10,0.0674907996053033
A092,6,-2.0091491882501704
A093,11,0.5866507965691717
A094,7,-1.489989191286302
A095,10,0.0674907996053033
A096,8,-0.9708291943224335
A097,9,-0.4516691973585651
A098,11,0.5866507965691717
A099,11,0.5866507965691717
A100,7,-1.489989191286302
A101,10,0.0674907996053033
A102,11,0.5866507965691717
A103,7,-1.489989191286302
A104,9,-0.4516691973585651
A105,10,0.0674907996053033
A106,12,1.1058107935330401
A107,8,-0.9708291943224335
A108,6,-2.0091491882501704
A109,8,-0.9708291943224335
