correlation_type,r,p_uncorrected,p_bonferroni,p_fdr,ci_lower,ci_upper,n_participants
RPM_vs_Overall_theta,0.45690941036910426,1.7667248446429085e-06,3.533449689285817e-06,3.451111006969043e-06,0.289271172660534,0.6095162826872308,100
RPM_vs_What_theta,0.4452719032426362,3.451111006969043e-06,6.902222013938086e-06,3.451111006969043e-06,0.27660357094552335,0.5991366264116578,100
