fold,n_participants,r_rpm_overall,r_rpm_what,correlation_difference
1,80,0.5388407986392739,0.5365005722603138,0.002340226378960142
2,80,0.37968056574481635,0.3554035370639089,0.02427702868090742
3,80,0.4775354636178668,0.47322314665128495,0.004312316966581853
4,80,0.4107364320776468,0.4009336632904847,0.00980276878716213
5,80,0.47524302404340973,0.45522207144010235,0.020020952603307385
