Segment,Congruence,Slope,SE,CI_lower,CI_upper,Interpretation
Early,Common,-0.26337308320774355,0.16425950851076604,-0.585321719888845,0.058575553473357855,decline
Early,Congruent,-0.2534097747937554,0.1642595085107336,-0.5753584114747933,0.06853886188728242,decline
Early,Incongruent,-0.31977813869956817,0.16425950851073354,-0.641726775380606,0.0021704979814695657,decline
Late,Common,-0.09317392370934596,0.02043724090068082,-0.13323091587468036,-0.05311693154401156,decline
Late,Congruent,-0.10086028190937116,0.02043724090068048,-0.1409172740747049,-0.06080328974403742,decline
Late,Incongruent,-0.08993328598959469,0.02043724090068099,-0.12999027815492942,-0.04987629382425995,decline
