Model_Name,Model_Type,AIC,BIC,LogLik,Delta_AIC,Best_Model
Piecewise (primary),Piecewise,2581.549022810639,2662.990252183057,-1274.7745114053196,90.63633601529182,False
Linear time,Continuous,2590.481118199021,2641.381886556782,-1285.2405590995104,99.56843140367346,False
Log time,Continuous,2564.00850716264,2614.909275520401,-1272.00425358132,73.09582036729262,False
Linear+Log time,Continuous,2490.9126867953473,2572.353916167765,-1229.4563433976737,0.0,True
