location,age_slope,se,z,p_uncorrected,p_tukey,ci_lower,ci_upper
Destination,-0.005329392732432867,0.016358707150773335,-0.32578324700805755,0.7445883547945431,0.7445883547945431,-0.0373924587479486,0.02673367328308287
Source,-0.005030540384516556,0.01799457786585067,-0.279558677175934,0.7798161142223927,0.7798161142223927,-0.04029991300158387,0.030238832232550757
