composite_ID,UID,test,TSVR_hours
A059_3,A059,3,79.78
A059_4,A059,4,151.93
A060_1,A060,1,1.0
A060_2,A060,2,24.87
A060_3,A060,3,94.68
A060_4,A060,4,143.91
A061_1,A061,1,1.0
A061_2,A061,2,35.16
A061_3,A061,3,82.55
A061_4,A061,4,146.56
A062_1,A062,1,1.0
A062_2,A062,2,44.69
A062_3,A062,3,92.72
A062_4,A062,4,149.18
A063_1,A063,1,1.0
A063_2,A063,2,21.98
A063_3,A063,3,69.99
A063_4,A063,4,141.09
A064_1,A064,1,1.0
A064_2,A064,2,37.65
A064_3,A064,3,82.99
A064_4,A064,4,156.21
A065_1,A065,1,1.0
A065_2,A065,2,32.31
A065_3,A065,3,106.41
A065_4,A065,4,187.43
A066_1,A066,1,1.0
A066_2,A066,2,23.35
A066_3,A066,3,73.79
A066_4,A066,4,164.93
A067_1,A067,1,1.0
A067_2,A067,2,29.91
A067_3,A067,3,73.19
A067_4,A067,4,144.19
A068_1,A068,1,1.0
A068_2,A068,2,30.49
A068_3,A068,3,82.98
A068_4,A068,4,155.59
A069_1,A069,1,1.0
A069_2,A069,2,24.96
A069_3,A069,3,79.75
A069_4,A069,4,140.22
A070_1,A070,1,1.0
A070_2,A070,2,24.25
A070_3,A070,3,81.92
A070_4,A070,4,149.2
A071_1,A071,1,1.0
A071_2,A071,2,30.92
A071_3,A071,3,79.96
A071_4,A071,4,153.27
A072_1,A072,1,1.0
A072_2,A072,2,33.76
A072_3,A072,3,83.54
A072_4,A072,4,154.89
A073_1,A073,1,1.0
A073_2,A073,2,66.66
A073_3,A073,3,66.9
A073_4,A073,4,140.12
A074_1,A074,1,1.0
A074_2,A074,2,29.33
A074_3,A074,3,73.02
A074_4,A074,4,147.21
A075_1,A075,1,1.0
A075_2,A075,2,28.68
A075_3,A075,3,71.37
A075_4,A075,4,244.53
A076_1,A076,1,1.0
A076_2,A076,2,27.3
A076_3,A076,3,74.88
A076_4,A076,4,149.28
A077_1,A077,1,1.0
A077_2,A077,2,53.88
A077_3,A077,3,78.36
A077_4,A077,4,149.75
A078_1,A078,1,1.0
A078_2,A078,2,26.17
