composite_ID,UID,test,TSVR_hours,log_TSVR,Age,Age_c,LocationType,theta,se
A018_1_Source,A018,1,1.0,0.6931471805599453,23.0,-21.57,Source,0.9366276,0.5
A018_1_Destination,A018,1,1.0,0.6931471805599453,23.0,-21.57,Destination,1.5116286,0.5
A018_2_Source,A018,2,34.03,3.5562048372093953,23.0,-21.57,Source,0.34145153,0.5
A018_2_Destination,A018,2,34.03,3.5562048372093953,23.0,-21.57,Destination,0.4516168,0.5
A018_3_Source,A018,3,83.64,4.438406968109989,23.0,-21.57,Source,-0.39613545,0.5
A018_3_Destination,A018,3,83.64,4.438406968109989,23.0,-21.57,Destination,-0.5255531,0.5
A018_4_Source,A018,4,150.87,5.023024891742178,23.0,-21.57,Source,0.23495352,0.5
A018_4_Destination,A018,4,150.87,5.023024891742178,23.0,-21.57,Destination,-0.6034264,0.5
A019_1_Source,A019,1,1.0,0.6931471805599453,20.0,-24.57,Source,-0.8907665,0.5
A019_1_Destination,A019,1,1.0,0.6931471805599453,20.0,-24.57,Destination,-1.1137557,0.5
A019_2_Source,A019,2,28.69,3.3908102887756684,20.0,-24.57,Source,-0.8944451,0.5
A019_2_Destination,A019,2,28.69,3.3908102887756684,20.0,-24.57,Destination,0.2184492,0.5
A019_3_Source,A019,3,83.68,4.4388794462666645,20.0,-24.57,Source,-0.5290039,0.5
A019_3_Destination,A019,3,83.68,4.4388794462666645,20.0,-24.57,Destination,-0.34441203,0.5
A019_4_Source,A019,4,154.76,5.048316361063944,20.0,-24.57,Source,-1.2386124,0.5
A019_4_Destination,A019,4,154.76,5.048316361063944,20.0,-24.57,Destination,-0.9084577,0.5
A020_1_Source,A020,1,1.0,0.6931471805599453,26.0,-18.57,Source,0.35700476,0.5
A020_1_Destination,A020,1,1.0,0.6931471805599453,26.0,-18.57,Destination,-0.39048332,0.5
A020_2_Source,A020,2,26.85,3.326832966373293,26.0,-18.57,Source,0.35810092,0.5
A020_2_Destination,A020,2,26.85,3.326832966373293,26.0,-18.57,Destination,0.15357906,0.5
A020_3_Source,A020,3,78.25,4.37260741275739,26.0,-18.57,Source,-0.56137884,0.5
A020_3_Destination,A020,3,78.25,4.37260741275739,26.0,-18.57,Destination,-0.33567235,0.5
A020_4_Source,A020,4,145.78,4.9889348671169165,26.0,-18.57,Source,-1.6343551,0.5
A020_4_Destination,A020,4,145.78,4.9889348671169165,26.0,-18.57,Destination,-1.1523182,0.5
A021_1_Source,A021,1,1.0,0.6931471805599453,28.0,-16.57,Source,1.2139407,0.5
A021_1_Destination,A021,1,1.0,0.6931471805599453,28.0,-16.57,Destination,0.64160866,0.5
A021_2_Source,A021,2,30.21,3.440738556282688,28.0,-16.57,Source,-0.017297959,0.5
