composite_ID,theta_source,theta_destination,se_source,se_destination
A040_3,-1.4675875,-0.9794845,0.5,0.5
A040_4,-1.0677122,-1.104057,0.5,0.5
A041_1,1.079175,0.22410686,0.5,0.5
A041_2,-1.0853513,-0.6096121,0.5,0.5
A041_3,-0.1782166,1.0298018,0.5,0.5
A041_4,0.9023358,-0.39342585,0.5,0.5
A042_1,-0.5589121,-1.0510693,0.5,0.5
A042_2,-1.3708228,-0.29213598,0.5,0.5
A042_3,-0.8300745,0.27557984,0.5,0.5
A042_4,-1.5882493,-0.4915242,0.5,0.5
A043_1,0.66669923,0.49942693,0.5,0.5
A043_2,0.21157885,0.4424877,0.5,0.5
A043_3,-0.3631573,0.3511134,0.5,0.5
A043_4,-0.15410642,-0.25678244,0.5,0.5
A044_1,-0.77502024,1.1713588,0.5,0.5
A044_2,-0.4404797,0.16294117,0.5,0.5
A044_3,-1.4569299,-1.3014706,0.5,0.5
A044_4,-1.2631737,-1.0086085,0.5,0.5
A045_1,-0.5580017,0.16803594,0.5,0.5
A045_2,-0.8744425,-0.48629287,0.5,0.5
A045_3,-0.7973534,-0.9015519,0.5,0.5
A045_4,-0.57261163,-0.6140947,0.5,0.5
A046_1,-0.6971506,-0.82893044,0.5,0.5
A046_2,-1.4928403,-1.229845,0.5,0.5
A046_3,-1.7452676,-0.9712328,0.5,0.5
A046_4,-0.63528097,-0.8551873,0.5,0.5
A047_1,-0.35001668,-0.9314449,0.5,0.5
A047_2,-0.16671039,0.0011731267,0.5,0.5
A047_3,-1.3709793,-0.31743395,0.5,0.5
A047_4,-1.6715268,0.5841509,0.5,0.5
A048_1,1.1008136,1.7055423,0.5,0.5
A048_2,0.42243886,-0.21394376,0.5,0.5
A048_3,-0.026019838,0.59561753,0.5,0.5
A048_4,-0.17341782,0.05674492,0.5,0.5
A049_1,1.1971763,0.7261273,0.5,0.5
A049_2,-1.2098973,-0.3937213,0.5,0.5
A049_3,0.85623467,0.6229021,0.5,0.5
A049_4,-0.14212708,1.4647734,0.5,0.5
A050_1,0.004513393,-0.91308653,0.5,0.5
A050_2,-0.64157915,-0.0066963215,0.5,0.5
A050_3,-0.91331995,-0.35299146,0.5,0.5
A050_4,-0.3250553,0.8914575,0.5,0.5
A051_1,1.209352,1.8028108,0.5,0.5
A051_2,-0.22324474,0.049381785,0.5,0.5
A051_3,-0.78436285,0.1110302,0.5,0.5
A051_4,-0.21998222,0.03827322,0.5,0.5
A052_1,0.78120226,-0.4868811,0.5,0.5
A052_2,-0.19870977,0.9826763,0.5,0.5
A052_3,0.39233577,-0.23479229,0.5,0.5
A052_4,-0.8431323,0.060775243,0.5,0.5
A053_1,1.0110499,0.830601,0.5,0.5
A053_2,0.9028614,0.35691914,0.5,0.5
A053_3,-0.8095616,-0.111180075,0.5,0.5
A053_4,-0.7212973,-0.24006987,0.5,0.5
A054_1,-0.009010122,0.4994956,0.5,0.5
A054_2,1.0112917,-0.12840416,0.5,0.5
A054_3,1.1221242,-0.02643241,0.5,0.5
A054_4,1.0953832,0.17176248,0.5,0.5
A055_1,-0.104547046,-0.5361741,0.5,0.5
A055_2,0.97470355,0.75660616,0.5,0.5
A055_3,-1.0984837,0.83208466,0.5,0.5
A055_4,-1.8678097,0.1528813,0.5,0.5
A056_1,0.7685593,0.7468591,0.5,0.5
A056_2,-0.08752507,-0.7365116,0.5,0.5
A056_3,0.2292436,-0.72254777,0.5,0.5
A056_4,-1.4955524,-0.8596302,0.5,0.5
A057_1,0.12942022,-1.0518757,0.5,0.5
A057_2,-1.3945471,-0.60083723,0.5,0.5
A057_3,-0.56744486,-0.51274824,0.5,0.5
A057_4,-1.7203946,-0.13473281,0.5,0.5
A058_1,1.3013333,1.7332748,0.5,0.5
A058_2,-0.7516616,-0.17271782,0.5,0.5
A058_3,0.24483971,0.67109835,0.5,0.5
A058_4,-0.613019,-0.9756075,0.5,0.5
A059_1,0.78058815,1.5626048,0.5,0.5
A059_2,0.78051406,0.07206453,0.5,0.5
A059_3,1.2624742,2.0409064,0.5,0.5
A059_4,0.8706269,-0.5772869,0.5,0.5
A060_1,-0.73423666,-0.1530542,0.5,0.5
A060_2,0.89305395,0.33590585,0.5,0.5
A060_3,-0.4122879,0.16965349,0.5,0.5
A060_4,0.5975928,-0.7229297,0.5,0.5
A061_1,1.7025199,2.0403898,0.5,0.5
A061_2,0.41044217,0.77201295,0.5,0.5
A061_3,0.69539714,1.5962133,0.5,0.5
A061_4,-0.7289813,0.7794881,0.5,0.5
A062_1,0.62293416,0.75087893,0.5,0.5
A062_2,-0.07864903,1.0081036,0.5,0.5
A062_3,-0.71697104,-0.41625023,0.5,0.5
A062_4,-0.91934156,-0.7022192,0.5,0.5
A063_1,1.103137,0.42942187,0.5,0.5
A063_2,1.1051809,0.9230828,0.5,0.5
A063_3,0.2864874,-1.0528466,0.5,0.5
A063_4,-0.9610751,-0.95782745,0.5,0.5
