term,coef,se,z,p_uncorrected,p_bonferroni,ci_lower,ci_upper,significant_at_0025
TSVR_hours:Age_c:LocationType[T.Source],-0.0001854805829103,0.0001058670871256,-1.7520136611499555,0.0797714588931865,0.159542917786373,-0.0003929762608248,2.201509500415064e-05,False
log_TSVR:Age_c:LocationType[T.Source],0.005150622638883,0.0037067641576851,1.3895199208194802,0.1646747076138232,0.3293494152276464,-0.0021145016093636,0.0124157468871298,False
