item_name,factor,a,b
TQ_ICR-D-i1,where,0.3993646502494812,1.1167492866516113
TQ_ICR-D-i2,where,0.645138680934906,1.4416745901107788
TQ_ICR-D-i3,where,0.6348342299461365,0.8303993940353394
TQ_ICR-D-i4,where,0.6670147180557251,1.4807184934616089
TQ_ICR-D-i5,where,0.4084446430206299,3.076566457748413
TQ_ICR-D-i6,where,0.9705791473388672,1.0911298990249634
TQ_ICR-N-i1,what,1.6647050380706787,-1.7384945154190063
TQ_ICR-N-i2,what,0.6197445392608643,-2.595818281173706
TQ_ICR-N-i4,what,1.1835291385650635,-2.3688786029815674
TQ_ICR-N-i5,what,1.1809524297714233,-2.020390510559082
TQ_ICR-N-i6,what,0.9998043775558472,-2.3224470615386963
TQ_ICR-O-i1,when,2.1831934452056885,0.9740666747093201
TQ_ICR-O-i6,when,0.5754196047782898,2.0708436965942383
TQ_ICR-U-i1,where,1.4349684715270996,-0.27362579107284546
TQ_ICR-U-i2,where,0.8845871090888977,-1.0020066499710083
TQ_ICR-U-i3,where,1.1772352457046509,-0.6676836013793945
TQ_ICR-U-i4,where,0.7755333781242371,-0.7246795892715454
TQ_ICR-U-i5,where,1.46699059009552,-0.1066710501909256
TQ_ICR-U-i6,where,0.9700790047645569,-0.5359637141227722
TQ_IFR-D-i2,where,0.4781816303730011,1.9253954887390137
TQ_IFR-D-i3,where,0.4659397602081299,1.2570455074310303
TQ_IFR-N-i1,what,1.0090770721435547,-0.38547787070274353
TQ_IFR-N-i2,what,0.6516942977905273,-0.16255290806293488
TQ_IFR-N-i3,what,0.5912074446678162,-0.6020291447639465
TQ_IFR-N-i4,what,0.5034998059272766,-0.7800015807151794
TQ_IFR-N-i5,what,0.9317681193351746,0.599550724029541
TQ_IFR-N-i6,what,0.8752398490905762,0.5029162764549255
TQ_IFR-O-i1,when,0.8229641318321228,1.2755955457687378
TQ_IFR-U-i1,where,1.0601259469985962,-0.0328228697180748
TQ_IFR-U-i2,where,0.7101894617080688,-0.23021993041038513
TQ_IFR-U-i3,where,0.6825816035270691,-0.12439898401498795
TQ_IFR-U-i4,where,0.4939079284667969,-0.14210008084774017
TQ_IFR-U-i5,where,0.7953952550888062,0.36516305804252625
TQ_IFR-U-i6,where,0.5296669602394104,0.3503127694129944
TQ_IRE-D-i1,where,0.48709172010421753,1.045878529548645
TQ_IRE-D-i2,where,0.5257316827774048,1.3948777914047241
TQ_IRE-D-i3,where,0.7170332670211792,0.49198687076568604
TQ_IRE-D-i4,where,0.6251032948493958,1.605924367904663
TQ_IRE-D-i6,where,0.8975724577903748,1.0175141096115112
TQ_IRE-N-i1,what,1.6668400764465332,-2.4635534286499023
TQ_IRE-O-i1,when,3.682682991027832,0.7487040162086487
TQ_IRE-O-i6,when,0.9846758842468262,1.8208732604980469
TQ_IRE-U-i1,where,1.1614793539047241,-0.48765096068382263
TQ_IRE-U-i2,where,0.7256962060928345,-1.6723737716674805
TQ_IRE-U-i3,where,1.2975685596466064,-0.6631860733032227
TQ_IRE-U-i4,where,0.8091346025466919,-0.7014864683151245
TQ_IRE-U-i5,where,1.2506295442581177,-0.28385695815086365
TQ_IRE-U-i6,where,0.7443071007728577,-0.9268602132797241
TQ_RFR-L-DOOR,where,0.5365957021713257,0.3865267038345337
TQ_RFR-L-LAND,where,0.47400057315826416,-0.14749272167682648
TQ_RFR-L-OBJ1,where,0.9997398853302002,-2.2437174320220947
TQ_RFR-L-OBJ2,where,1.0684691667556763,-2.0041656494140625
TQ_RFR-L-OBJ3,where,1.0929890871047974,-1.5591282844543457
TQ_RFR-L-OBJ4,where,0.8492236137390137,-2.0444703102111816
TQ_RFR-L-PORT,where,0.9298868775367737,-1.1739187240600586
TQ_RFR-L-STRA,where,1.177451729774475,-0.8354264497756958
TQ_RFR-L-WIND,where,0.3889859914779663,1.6863662004470825
TQ_RFR-N-LAND,what,0.8072292804718018,-0.19439031183719635
TQ_RFR-N-OBJ3,what,0.9019443988800049,-2.2970173358917236
TQ_RFR-N-OBJ4,what,1.0420448780059814,-2.624507427215576
TQ_RFR-N-PORT,what,1.4613621234893799,-0.8686130046844482
TQ_RFR-N-STRA,what,0.7455214858055115,-1.4280422925949097
TQ_RRE-L-DOOR,where,0.4333721101284027,1.8238221406936646
TQ_RRE-L-LAND,where,0.9006450176239014,0.7395678162574768
TQ_RRE-L-PORT,where,1.1998106241226196,-0.5117172002792358
TQ_RRE-L-STRA,where,1.812470555305481,-1.69586181640625
TQ_RRE-L-WIND,where,0.665668249130249,1.7720365524291992
TQ_RRE-N-LAND,what,0.9625241160392761,-0.776618242263794
TQ_RRE-N-PORT,what,2.009338855743408,-1.106204867362976
