item_name,what,where,when
TQ_RFR-N-OBJ1,1,0,0
TQ_RFR-N-OBJ2,1,0,0
TQ_RFR-N-OBJ3,1,0,0
TQ_RFR-N-OBJ4,1,0,0
TQ_RFR-N-STRA,1,0,0
TQ_RFR-N-PORT,1,0,0
TQ_RFR-N-LAND,1,0,0
TQ_IFR-N-i1,1,0,0
TQ_IFR-N-i2,1,0,0
TQ_IFR-N-i3,1,0,0
TQ_IFR-N-i4,1,0,0
TQ_IFR-N-i5,1,0,0
TQ_IFR-N-i6,1,0,0
TQ_RFR-N-WEAT,1,0,0
TQ_ICR-N-i1,1,0,0
TQ_ICR-N-i2,1,0,0
TQ_ICR-N-i3,1,0,0
TQ_ICR-N-i4,1,0,0
TQ_ICR-N-i5,1,0,0
TQ_ICR-N-i6,1,0,0
TQ_RRE-N-LAND,1,0,0
TQ_RRE-N-PORT,1,0,0
TQ_RRE-N-STRA,1,0,0
TQ_IRE-N-i1,1,0,0
TQ_IRE-N-i2,1,0,0
TQ_IRE-N-i3,1,0,0
TQ_IRE-N-i4,1,0,0
TQ_IRE-N-i5,1,0,0
TQ_IRE-N-i6,1,0,0
TQ_RFR-L-OBJ1,0,1,0
TQ_RFR-L-OBJ2,0,1,0
TQ_RFR-L-OBJ3,0,1,0
TQ_RFR-L-OBJ4,0,1,0
TQ_RFR-L-DOOR,0,1,0
TQ_RFR-L-WIND,0,1,0
TQ_RFR-L-PORT,0,1,0
TQ_RFR-L-LAND,0,1,0
TQ_RFR-L-STRA,0,1,0
TQ_IFR-U-i1,0,1,0
TQ_IFR-U-i2,0,1,0
TQ_IFR-U-i3,0,1,0
TQ_IFR-U-i4,0,1,0
TQ_IFR-U-i5,0,1,0
TQ_IFR-U-i6,0,1,0
TQ_IFR-D-i1,0,1,0
TQ_IFR-D-i2,0,1,0
TQ_IFR-D-i3,0,1,0
TQ_IFR-D-i4,0,1,0
TQ_IFR-D-i5,0,1,0
TQ_IFR-D-i6,0,1,0
TQ_ICR-U-i1,0,1,0
TQ_ICR-U-i2,0,1,0
TQ_ICR-U-i3,0,1,0
TQ_ICR-U-i4,0,1,0
TQ_ICR-U-i5,0,1,0
TQ_ICR-U-i6,0,1,0
TQ_ICR-D-i1,0,1,0
TQ_ICR-D-i2,0,1,0
TQ_ICR-D-i3,0,1,0
TQ_ICR-D-i4,0,1,0
TQ_ICR-D-i5,0,1,0
TQ_ICR-D-i6,0,1,0
TQ_RRE-L-DOOR,0,1,0
TQ_RRE-L-WIND,0,1,0
TQ_RRE-L-LAND,0,1,0
TQ_RRE-L-PORT,0,1,0
TQ_RRE-L-STRA,0,1,0
TQ_IRE-U-i1,0,1,0
TQ_IRE-U-i2,0,1,0
TQ_IRE-U-i3,0,1,0
TQ_IRE-U-i4,0,1,0
TQ_IRE-U-i5,0,1,0
TQ_IRE-U-i6,0,1,0
TQ_IRE-D-i1,0,1,0
TQ_IRE-D-i2,0,1,0
TQ_IRE-D-i3,0,1,0
TQ_IRE-D-i4,0,1,0
TQ_IRE-D-i5,0,1,0
TQ_IRE-D-i6,0,1,0
TQ_RFR-O-RORD,0,0,1
TQ_RFR-O-TMOD,0,0,1
TQ_IFR-O-i1,0,0,1
TQ_IFR-O-i2,0,0,1
TQ_IFR-O-i3,0,0,1
TQ_IFR-O-i4,0,0,1
TQ_IFR-O-i5,0,0,1
TQ_IFR-O-i6,0,0,1
TQ_TCR-O-TSK1,0,0,1
TQ_TCR-O-TSK2,0,0,1
TQ_TCR-O-TSK3,0,0,1
TQ_TCR-O-TSK4,0,0,1
TQ_TCR-O-TSK5,0,0,1
TQ_TCR-O-TSK6,0,0,1
TQ_ICR-O-i1,0,0,1
TQ_ICR-O-i2,0,0,1
TQ_ICR-O-i3,0,0,1
TQ_ICR-O-i4,0,0,1
TQ_ICR-O-i5,0,0,1
TQ_ICR-O-i6,0,0,1
TQ_IRE-O-i1,0,0,1
TQ_IRE-O-i2,0,0,1
TQ_IRE-O-i3,0,0,1
TQ_IRE-O-i4,0,0,1
TQ_IRE-O-i5,0,0,1
TQ_IRE-O-i6,0,0,1
