item_name,factor,a,b
TQ_ICR-D-i1,where,0.4586479663848877,1.0470805168151855
TQ_ICR-D-i2,where,0.5757060050964355,1.6444499492645264
TQ_ICR-D-i3,where,0.6820347905158997,0.8238108158111572
TQ_ICR-D-i4,where,0.717046856880188,1.426717758178711
TQ_ICR-D-i5,where,0.45144814252853394,2.8353264331817627
TQ_ICR-D-i6,where,1.0043835639953613,1.1023650169372559
TQ_ICR-N-i1,what,1.6623317003250122,-1.711682915687561
TQ_ICR-N-i2,what,0.6194806098937988,-2.603935718536377
TQ_ICR-N-i3,what,0.8717093467712402,-3.371197462081909
TQ_ICR-N-i4,what,1.2482839822769165,-2.2607619762420654
TQ_ICR-N-i5,what,1.1612184047698975,-1.9954429864883423
TQ_ICR-N-i6,what,1.0587624311447144,-2.2018847465515137
TQ_ICR-O-i1,when,1.8023300170898438,1.0607397556304932
TQ_ICR-O-i2,when,0.7456965446472168,2.6757755279541016
TQ_ICR-O-i3,when,0.12823283672332764,4.394155979156494
TQ_ICR-O-i4,when,0.377013236284256,2.625201940536499
TQ_ICR-O-i5,when,0.2948228120803833,3.1015923023223877
TQ_ICR-O-i6,when,0.702889084815979,1.7645347118377686
TQ_ICR-U-i1,where,1.3761225938796997,-0.22933919727802277
TQ_ICR-U-i2,where,0.8732916116714478,-1.0057852268218994
TQ_ICR-U-i3,where,1.1879603862762451,-0.6325854659080505
TQ_ICR-U-i4,where,0.8053376078605652,-0.6621260046958923
TQ_ICR-U-i5,where,1.4543020725250244,-0.0580659955739975
TQ_ICR-U-i6,where,0.9891709089279175,-0.49614790081977844
TQ_IFR-D-i1,where,0.3735690414905548,1.727401852607727
TQ_IFR-D-i2,where,0.4398956298828125,2.1361281871795654
TQ_IFR-D-i3,where,0.4953151345252991,1.2443567514419556
TQ_IFR-D-i4,where,0.2926291823387146,2.569225788116455
TQ_IFR-D-i5,where,0.21348042786121368,3.2183496952056885
TQ_IFR-D-i6,where,0.23753201961517334,4.601586818695068
TQ_IFR-N-i1,what,0.9802343249320984,-0.34417110681533813
TQ_IFR-N-i2,what,0.6191426515579224,-0.14639437198638916
TQ_IFR-N-i3,what,0.5636990070343018,-0.5892385840415955
TQ_IFR-N-i4,what,0.5517611503601074,-0.6783558130264282
TQ_IFR-N-i5,what,0.8917161822319031,0.6697983741760254
TQ_IFR-N-i6,what,0.8344249129295349,0.5630204677581787
TQ_IFR-O-i1,when,0.7773358225822449,1.3410366773605347
TQ_IFR-O-i2,when,0.37544023990631104,2.8747506141662598
TQ_IFR-O-i3,when,0.22068415582180023,1.9289579391479492
TQ_IFR-O-i4,when,0.295920729637146,2.3284449577331543
TQ_IFR-O-i5,when,0.14716094732284546,3.6950550079345703
TQ_IFR-O-i6,when,0.25714221596717834,3.5100996494293213
TQ_IFR-U-i1,where,1.0306388139724731,0.02165207266807556
TQ_IFR-U-i2,where,0.7011756300926208,-0.2026226967573166
TQ_IFR-U-i3,where,0.6539635062217712,-0.09757698327302933
TQ_IFR-U-i4,where,0.5159956812858582,-0.12367571890354156
TQ_IFR-U-i5,where,0.7756568193435669,0.42889603972435
TQ_IFR-U-i6,where,0.5232068300247192,0.3897552490234375
TQ_IRE-D-i1,where,0.5430728197097778,0.9878380298614502
TQ_IRE-D-i2,where,0.46256086230278015,1.6386237144470215
TQ_IRE-D-i3,where,0.7466933131217957,0.5241605043411255
TQ_IRE-D-i4,where,0.6788635849952698,1.5331920385360718
TQ_IRE-D-i5,where,0.3884393870830536,1.8509951829910278
TQ_IRE-D-i6,where,0.9220349192619324,1.0403493642807007
TQ_IRE-N-i1,what,1.6681303977966309,-2.4409842491149902
TQ_IRE-N-i2,what,0.44811320304870605,-5.953276634216309
TQ_IRE-N-i3,what,0.5053231716156006,-4.242547035217285
TQ_IRE-N-i4,what,0.6507154703140259,-3.1847784519195557
TQ_IRE-N-i5,what,0.416944682598114,-5.332666397094727
TQ_IRE-N-i6,what,0.7973647117614746,-3.680027961730957
TQ_IRE-O-i1,when,2.162813425064087,0.8854079246520996
TQ_IRE-O-i2,when,0.3623110353946686,5.263669967651367
TQ_IRE-O-i3,when,0.09640666097402573,5.571208477020264
TQ_IRE-O-i4,when,0.3341881334781647,3.129615068435669
TQ_IRE-O-i5,when,0.08262544125318527,11.6461820602417
TQ_IRE-O-i6,when,1.1679919958114624,1.6084767580032349
TQ_IRE-U-i1,where,1.1208374500274658,-0.45808765292167664
TQ_IRE-U-i2,where,0.7335736155509949,-1.640594244003296
TQ_IRE-U-i3,where,1.292811393737793,-0.6339249610900879
TQ_IRE-U-i4,where,0.8434241414070129,-0.672908365726471
TQ_IRE-U-i5,where,1.2321662902832031,-0.23776966333389282
TQ_IRE-U-i6,where,0.7624756693840027,-0.8731865286827087
TQ_RFR-L-DOOR,where,0.5358285903930664,0.4127546548843384
TQ_RFR-L-LAND,where,0.46583670377731323,-0.11088687181472778
TQ_RFR-L-OBJ1,where,0.991651177406311,-2.220792055130005
TQ_RFR-L-OBJ2,where,1.0364686250686646,-2.0144832134246826
TQ_RFR-L-OBJ3,where,1.0955346822738647,-1.5195003747940063
TQ_RFR-L-OBJ4,where,0.8428614139556885,-2.0152084827423096
TQ_RFR-L-PORT,where,0.9436835646629333,-1.1108711957931519
TQ_RFR-L-STRA,where,1.111910104751587,-0.8350579142570496
TQ_RFR-L-WIND,where,0.4259398579597473,1.5693179368972778
TQ_RFR-N-LAND,what,0.8474790453910828,-0.15348286926746368
