composite_ID,UID,test,TSVR_hours,domain,theta
A010_1,A010,1,1.0,what,1.9723079
A010_2,A010,2,21.9,what,0.5321417
A010_3,A010,3,80.88,what,-0.24620515
A010_4,A010,4,145.31,what,0.76564074
A011_1,A011,1,1.0,what,1.1758701
A011_2,A011,2,24.57,what,0.58703774
A011_3,A011,3,72.55,what,-0.32275462
A011_4,A011,4,148.85,what,-0.6501544
A012_1,A012,1,1.0,what,1.317989
A012_2,A012,2,25.6,what,-0.16549101
A012_3,A012,3,166.33,what,0.5725235
A012_4,A012,4,166.87,what,-0.5827313
A013_1,A013,1,1.0,what,0.085204296
A013_2,A013,2,24.77,what,-0.30207354
A013_3,A013,3,79.66,what,0.38999763
A013_4,A013,4,147.13,what,-0.5718052
A014_1,A014,1,1.0,what,0.990247
A014_2,A014,2,25.66,what,2.0772517
A014_3,A014,3,70.56,what,0.39994225
A014_4,A014,4,148.87,what,-0.48348227
A015_1,A015,1,1.0,what,1.7676418
A015_2,A015,2,23.69,what,1.9235327
A015_3,A015,3,70.59,what,1.7069992
A015_4,A015,4,146.54,what,0.48828286
A016_1,A016,1,1.0,what,1.0766052
A016_2,A016,2,32.85,what,-0.39004326
A016_3,A016,3,80.64,what,0.09681583
A016_4,A016,4,150.8,what,-1.1568888
A017_1,A017,1,1.0,what,-0.40713716
A017_2,A017,2,20.61,what,1.0619187
A017_3,A017,3,61.28,what,0.66992927
A017_4,A017,4,140.49,what,0.20140322
A018_1,A018,1,1.0,what,0.32558995
A018_2,A018,2,34.03,what,-0.36246425
A018_3,A018,3,83.64,what,-0.91410375
A018_4,A018,4,150.87,what,0.16954863
A019_1,A019,1,1.0,what,-0.015733648
A019_2,A019,2,28.69,what,-1.1935377
A019_3,A019,3,83.68,what,-0.94285613
A019_4,A019,4,154.76,what,-1.264995
A020_1,A020,1,1.0,what,-0.01839159
A020_2,A020,2,26.85,what,-0.5171829
A020_3,A020,3,78.25,what,-0.46821594
A020_4,A020,4,145.78,what,-2.2787354
A021_1,A021,1,1.0,what,1.0875474
A021_2,A021,2,30.21,what,0.8355286
A021_3,A021,3,74.19,what,0.29306138
A021_4,A021,4,140.39,what,0.7857295
A022_1,A022,1,1.0,what,-0.07678151
A022_2,A022,2,24.15,what,0.13877183
A022_3,A022,3,74.46,what,-0.30076003
A022_4,A022,4,141.71,what,0.26840943
