comparison,beta,se,z,p_uncorrected,alpha_corrected,p_corrected,sig_uncorrected,sig_corrected
Where-What,0.037135015787932275,0.10431931988172141,0.3559744813332414,0.7218596760149719,0.016666666666666666,1.0,False,False
When-What,-0.41502065152991974,0.10431931988172147,-3.9783680721890757,6.93898956309245e-05,0.016666666666666666,0.00020816968689277347,True,True
When-Where,-0.452155667317852,0.10431931988172148,-4.334342553522316,1.4619637660473472e-05,0.016666666666666666,4.385891298142042e-05,True,True
