UID,pct_full_scale,pct_extremes_only,mean_sd,mean_categories
A010,1.0,0.0,0.3264623891240732,5.0
A011,1.0,0.0,0.2828360654433746,5.0
A012,1.0,0.0,0.29974452228689247,5.0
A013,1.0,0.0,0.3144114949092953,5.0
A014,1.0,0.0,0.26528871111314517,5.0
A015,0.25,0.0,0.36413459712329366,4.25
A016,1.0,0.0,0.2867705550200737,5.0
A017,0.25,0.5,0.367639879270747,3.25
A018,0.5,0.0,0.3512568684732664,4.5
A019,0.0,0.0,0.14228693694177652,3.5
A020,1.0,0.0,0.3236855207841908,5.0
A021,1.0,0.0,0.30289936802081313,5.0
A022,1.0,0.0,0.2879289500657156,5.0
A023,1.0,0.0,0.3029461639486291,5.0
A024,1.0,0.0,0.3190300747293068,5.0
A025,1.0,0.0,0.29642511862492216,5.0
A026,1.0,0.0,0.34035767812880424,5.0
A027,1.0,0.0,0.30920975690947433,5.0
A028,1.0,0.0,0.3052781329518331,5.0
A029,0.5,0.0,0.27565111820407223,4.5
A030,1.0,0.0,0.32243056856974334,5.0
A031,0.5,0.0,0.29568489696344624,4.5
A032,0.25,0.0,0.36103816275398376,4.25
A033,1.0,0.0,0.34540851030107317,5.0
A034,0.75,0.0,0.24698633039132722,4.75
A035,1.0,0.0,0.29101976169329663,5.0
A036,0.5,0.0,0.21289245867360723,4.5
A037,1.0,0.0,0.32627892442477513,5.0
A038,1.0,0.0,0.29114128560090885,5.0
A039,0.5,0.0,0.25035427297784796,4.5
A040,0.5,0.25,0.33987378365393883,4.0
A041,0.5,0.0,0.3637898399023056,4.25
A042,1.0,0.0,0.2686073243546748,5.0
A043,0.25,0.0,0.21761161009262725,4.25
A044,1.0,0.0,0.2595344449107537,5.0
A045,1.0,0.0,0.32840602854320516,5.0
A046,1.0,0.0,0.24444252483488962,5.0
A047,0.75,0.0,0.24099295501230705,4.75
A048,1.0,0.0,0.3234144891814005,5.0
A049,0.5,0.0,0.33433286537689194,4.5
A050,0.0,0.0,0.32020856307111173,3.75
A051,1.0,0.0,0.29167958153480444,5.0
A052,1.0,0.0,0.312149058154065,5.0
A053,0.25,0.0,0.2168392607283131,4.0
A054,1.0,0.0,0.3065569963499322,5.0
A055,1.0,0.0,0.30434748219565644,5.0
A056,1.0,0.0,0.2890445862464051,5.0
A057,1.0,0.0,0.30020088284574364,5.0
A058,0.25,0.0,0.3334844338618106,4.25
A059,1.0,0.0,0.340777850575007,5.0
A060,1.0,0.0,0.30585162263380683,5.0
A061,0.75,0.0,0.24565347724700767,4.25
A062,1.0,0.0,0.29596055663281934,5.0
A063,0.5,0.0,0.19709132998116694,4.5
A064,1.0,0.0,0.32604229356273123,5.0
A065,0.5,0.0,0.21131600099507986,4.5
A066,1.0,0.0,0.30157986017777927,5.0
A067,0.75,0.0,0.24428326691781457,4.75
A068,0.75,0.0,0.2787561362585709,4.75
A069,0.25,0.0,0.22724340508407936,4.25
A070,0.75,0.0,0.3187747700959405,4.5
A071,1.0,0.0,0.29210281403903615,5.0
A072,1.0,0.0,0.3017179742123628,5.0
A073,1.0,0.0,0.27419164446951816,5.0
A074,0.5,0.0,0.3565717453964342,4.5
A075,1.0,0.0,0.3000398546361106,5.0
A076,0.25,0.0,0.24989100364011466,4.25
A077,0.75,0.0,0.3399523810326091,4.75
A078,1.0,0.0,0.26757891328060623,5.0
A079,1.0,0.0,0.32335444224394166,5.0
A080,1.0,0.0,0.2825394949445121,5.0
A081,1.0,0.0,0.2554090611036134,5.0
A082,1.0,0.0,0.3394760501247168,5.0
A083,1.0,0.0,0.31563608673601434,5.0
A084,1.0,0.0,0.24020354494832766,5.0
A085,0.25,0.0,0.3671596193138067,4.25
A086,1.0,0.0,0.29510351069471497,5.0
A087,1.0,0.0,0.34618780961314566,5.0
A088,1.0,0.0,0.32046489660191474,5.0
A089,1.0,0.0,0.32082187180197713,5.0
A090,0.5,0.0,0.17778529218205044,4.0
A091,1.0,0.0,0.3040561996469548,5.0
A092,0.5,0.0,0.32977408466288083,4.5
A093,0.25,0.0,0.15169380666057822,3.25
A094,1.0,0.0,0.2645465770332786,5.0
A095,1.0,0.0,0.3092554841155322,5.0
A096,1.0,0.0,0.25696502991432585,5.0
A097,0.5,0.0,0.18392754398895345,4.25
A098,0.75,0.0,0.32809240049938293,4.75
A099,0.5,0.0,0.2650955506344763,4.5
A100,0.0,0.0,0.09743401040002204,3.0
A101,0.5,0.0,0.21135129781974912,4.5
A102,0.75,0.0,0.3421056916720683,4.75
A103,0.25,0.0,0.1406927738916386,3.75
A104,0.5,0.25,0.31477670658171575,3.75
A105,0.5,0.0,0.2665574718755214,4.5
A106,1.0,0.0,0.32990148982403605,5.0
A107,0.25,0.0,0.11622707427279926,3.75
A108,0.75,0.0,0.29085017155062104,4.75
A109,0.0,0.0,0.13221007373060992,3.25
