tertile,N,mean_Day0_confidence,mean_forgetting_slope,sd_forgetting_slope,se_forgetting_slope
Low,33,-0.21428981403030303,0.0796100229469456,0.004791960759347253,0.0008341732964188556
Med,33,0.7432647672727273,0.07666541186392023,0.0033864332931441287,0.0005895023697208645
High,34,1.572687932352941,0.07400016781249971,0.0033096530770261685,0.0005676008200225387
