UID,Day0_confidence,forgetting_slope,tertile,is_mean,se_slope
A010,0.9966144,0.0700275820211976,Med,False,
A011,2.008585,0.0758349689633162,High,False,
A012,1.096769,0.0752580900156745,High,False,
A013,0.14108829,0.0789546680086063,Low,False,
A014,1.5729513,0.071456707061643,High,False,
A015,1.4229563,0.0667016404103386,High,False,
A016,0.6762369,0.0740890008286143,Med,False,
A017,1.2367781,0.0758644223981031,High,False,
A018,0.4011214,0.0783865049599273,Med,False,
A019,-0.13678566,0.0841022145587535,Low,False,
A020,0.4385481,0.0809910583688367,Med,False,
A021,1.2973111,0.0724725246620712,High,False,
A022,-1.0273978,0.0772905662365634,Low,False,
A023,0.8757261,0.0769784852053531,Med,False,
A024,0.5364075,0.077128974131958,Med,False,
A025,0.7685537,0.0724775914221787,Med,False,
A026,0.56117547,0.0743731102035543,Med,False,
A027,1.0715036,0.0760668301715973,Med,False,
A028,1.2547947,0.0750502852106532,High,False,
A029,1.6053915,0.0711931342324019,High,False,
A030,0.23597223,0.0749205913186723,Low,False,
A031,2.0878112,0.0722416171731812,High,False,
A032,0.3052368,0.0743312515545835,Low,False,
A033,0.77137077,0.0746264769397493,Med,False,
A034,2.0106363,0.0716106215522772,High,False,
A035,0.8264408,0.0775049364116137,Med,False,
A036,-0.8724763,0.0760753354865463,Low,False,
A037,0.981827,0.072107788853554,Med,False,
A038,1.2398889,0.072944861022538,High,False,
A039,2.2039258,0.068933270609143,High,False,
A040,0.10722337,0.0821020224803193,Low,False,
A041,1.1639924,0.0770998584659177,High,False,
A042,-0.26355729,0.0833319717768652,Low,False,
A043,2.2976968,0.0736157687958804,High,False,
A044,-0.48998752,0.0809149343107573,Low,False,
A045,-0.1593461,0.0849598773101029,Low,False,
A046,0.676205,0.0859586514312135,Med,False,
A047,0.3895279,0.0836031130834629,Med,False,
A048,0.724293,0.0755136680363478,Med,False,
A049,1.5637307,0.073420918348569,High,False,
A050,0.035831243,0.0825170803928401,Low,False,
A051,1.7638129,0.0765193903879737,High,False,
A052,1.0086244,0.0757275569208094,Med,False,
A053,0.7935923,0.0728315703065812,Med,False,
A054,1.6660749,0.0728296476647857,High,False,
A055,0.8933571,0.0760012609060941,Med,False,
A056,0.35512546,0.0763343017895764,Low,False,
A057,0.7148236,0.079984717156228,Med,False,
A058,0.6129219,0.0780473727182357,Med,False,
A059,0.35930577,0.0709581818255833,Low,False,
A060,1.1899056,0.0760468934862097,High,False,
A061,3.035337,0.068782121097948,High,False,
A062,0.8056381,0.0741734129460052,Med,False,
A063,-0.22373737,0.0744690451897161,Low,False,
A064,0.97024375,0.0743970135319238,Med,False,
A065,-0.13690929,0.089497457997351,Low,False,
A066,0.46811906,0.0796457179981935,Med,False,
A067,0.24262358,0.0816699699872624,Low,False,
A068,2.2656133,0.0738147184170285,High,False,
A069,0.25422466,0.0852590012023686,Low,False,
A070,0.26595566,0.0774473566025064,Low,False,
A071,1.4062483,0.0755604621282455,High,False,
A072,1.1476082,0.0759304455826986,High,False,
A073,0.005702734,0.0757713134352713,Low,False,
A074,0.4057072,0.0769646177813064,Med,False,
A075,0.21868351,0.0785891232892467,Low,False,
A076,-0.25764796,0.0831255246257147,Low,False,
A077,1.0828195,0.074097294646832,High,False,
A078,-0.9361496,0.0797670297544932,Low,False,
A079,0.3822094,0.0794188274754092,Med,False,
A080,1.1243324,0.0762720875867827,High,False,
A081,1.2758523,0.0760117538742082,High,False,
A082,0.1739859,0.0739222607168015,Low,False,
A083,1.2734162,0.0709547057378899,High,False,
A084,-0.42285675,0.0784148295090884,Low,False,
A085,0.8677166,0.0739594929423644,Med,False,
A086,1.277961,0.0777521959777947,High,False,
A087,1.4973053,0.0729870231991134,High,False,
A088,0.25304648,0.0664249529845539,Low,False,
A089,1.3327537,0.0709506867979725,High,False,
A090,-0.65424925,0.0811003626009767,Low,False,
A091,0.9867957,0.0790137906259887,Med,False,
A092,0.22590114,0.081902951702273,Low,False,
A093,1.615065,0.0755841464728495,High,False,
A094,-0.15748604,0.0832924895457688,Low,False,
A095,1.0626495,0.0755691502821386,Med,False,
A096,1.2504172,0.0857835750897643,High,False,
A097,-0.40680176,0.0779421754758125,Low,False,
A098,0.7665425,0.0745537771594479,Med,False,
A099,1.5797538,0.0726217461313157,High,False,
A100,0.9444509,0.0763622075480461,Med,False,
A101,-0.32381263,0.0849973063195877,Low,False,
A102,0.7623854,0.0768187168061965,Med,False,
A103,-1.8178651,0.0782809524634402,Low,False,
A104,1.6208797,0.0736390557673233,High,False,
A105,2.0030143,0.0761690666565461,High,False,
A106,0.900686,0.0745405962298753,Med,False,
A107,-1.6444446,0.0856299189311926,Low,False,
A108,-0.31995967,0.0828337378660087,Low,False,
A109,0.48572227,0.082115020105365,Med,False,
MEAN_Low,-0.21428981403030303,0.0796100229469456,Low,True,0.0008341732964188556
MEAN_Med,0.7432647672727273,0.07666541186392023,Med,True,0.0005895023697208645
MEAN_High,1.572687932352941,0.07400016781249971,High,True,0.0005676008200225387
