UID,Day0_confidence,se_confidence,forgetting_slope,se_slope
A010,0.9966144,0.07339282,0.0700275820211976,0.002241981382843223
A011,2.008585,0.07339282,0.0758349689633162,0.002241981382843223
A012,1.096769,0.07339282,0.0752580900156745,0.002241981382843223
A013,0.14108829,0.07339282,0.0789546680086063,0.002241981382843223
A014,1.5729513,0.07339282,0.071456707061643,0.002241981382843223
A015,1.4229563,0.07339282,0.0667016404103386,0.002241981382843223
A016,0.6762369,0.07339282,0.0740890008286143,0.002241981382843223
A017,1.2367781,0.07339282,0.0758644223981031,0.002241981382843223
A018,0.4011214,0.07339282,0.0783865049599273,0.002241981382843223
A019,-0.13678566,0.07339282,0.0841022145587535,0.002241981382843223
A020,0.4385481,0.07339282,0.0809910583688367,0.002241981382843223
A021,1.2973111,0.07339282,0.0724725246620712,0.002241981382843223
A022,-1.0273978,0.07339282,0.0772905662365634,0.002241981382843223
A023,0.8757261,0.07339282,0.0769784852053531,0.002241981382843223
A024,0.5364075,0.07339282,0.077128974131958,0.002241981382843223
A025,0.7685537,0.07339282,0.0724775914221787,0.002241981382843223
A026,0.56117547,0.07339282,0.0743731102035543,0.002241981382843223
A027,1.0715036,0.07339282,0.0760668301715973,0.002241981382843223
A028,1.2547947,0.07339282,0.0750502852106532,0.002241981382843223
A029,1.6053915,0.07339282,0.0711931342324019,0.002241981382843223
A030,0.23597223,0.07339282,0.0749205913186723,0.002241981382843223
A031,2.0878112,0.07339282,0.0722416171731812,0.002241981382843223
A032,0.3052368,0.07339282,0.0743312515545835,0.002241981382843223
A033,0.77137077,0.07339282,0.0746264769397493,0.002241981382843223
A034,2.0106363,0.07339282,0.0716106215522772,0.002241981382843223
A035,0.8264408,0.07339282,0.0775049364116137,0.002241981382843223
A036,-0.8724763,0.07339282,0.0760753354865463,0.002241981382843223
A037,0.981827,0.07339282,0.072107788853554,0.002241981382843223
A038,1.2398889,0.07339282,0.072944861022538,0.002241981382843223
A039,2.2039258,0.07339282,0.068933270609143,0.002241981382843223
A040,0.10722337,0.07339282,0.0821020224803193,0.002241981382843223
A041,1.1639924,0.07339282,0.0770998584659177,0.002241981382843223
A042,-0.26355729,0.07339282,0.0833319717768652,0.002241981382843223
A043,2.2976968,0.07339282,0.0736157687958804,0.002241981382843223
A044,-0.48998752,0.07339282,0.0809149343107573,0.002241981382843223
A045,-0.1593461,0.07339282,0.0849598773101029,0.002241981382843223
A046,0.676205,0.07339282,0.0859586514312135,0.002241981382843223
A047,0.3895279,0.07339282,0.0836031130834629,0.002241981382843223
A048,0.724293,0.07339282,0.0755136680363478,0.002241981382843223
A049,1.5637307,0.07339282,0.073420918348569,0.002241981382843223
A050,0.035831243,0.07339282,0.0825170803928401,0.002241981382843223
A051,1.7638129,0.07339282,0.0765193903879737,0.002241981382843223
A052,1.0086244,0.07339282,0.0757275569208094,0.002241981382843223
A053,0.7935923,0.07339282,0.0728315703065812,0.002241981382843223
A054,1.6660749,0.07339282,0.0728296476647857,0.002241981382843223
A055,0.8933571,0.07339282,0.0760012609060941,0.002241981382843223
A056,0.35512546,0.07339282,0.0763343017895764,0.002241981382843223
A057,0.7148236,0.07339282,0.079984717156228,0.002241981382843223
A058,0.6129219,0.07339282,0.0780473727182357,0.002241981382843223
A059,0.35930577,0.07339282,0.0709581818255833,0.002241981382843223
A060,1.1899056,0.07339282,0.0760468934862097,0.002241981382843223
A061,3.035337,0.07339282,0.068782121097948,0.002241981382843223
A062,0.8056381,0.07339282,0.0741734129460052,0.002241981382843223
A063,-0.22373737,0.07339282,0.0744690451897161,0.002241981382843223
A064,0.97024375,0.07339282,0.0743970135319238,0.002241981382843223
A065,-0.13690929,0.07339282,0.089497457997351,0.002241981382843223
A066,0.46811906,0.07339282,0.0796457179981935,0.002241981382843223
A067,0.24262358,0.07339282,0.0816699699872624,0.002241981382843223
A068,2.2656133,0.07339282,0.0738147184170285,0.002241981382843223
A069,0.25422466,0.07339282,0.0852590012023686,0.002241981382843223
A070,0.26595566,0.07339282,0.0774473566025064,0.002241981382843223
A071,1.4062483,0.07339282,0.0755604621282455,0.002241981382843223
A072,1.1476082,0.07339282,0.0759304455826986,0.002241981382843223
A073,0.005702734,0.07339282,0.0757713134352713,0.002241981382843223
