term,estimate,std_error,t_value,p_value,ci_lower,ci_upper
Intercept,0.07891480407803322,0.00047930839950744607,164.64306521464846,1.5066483185516294e-121,0.07796363215857735,-0.003942668341723627
Day0_confidence,-0.0030789913497572203,0.0004352185217448781,-7.074587123298264,2.252620835201686e-10,0.0798659759974891,-0.002215314357790814
