UID,Source_intercept,Source_slope,Destination_intercept,Destination_slope
A010,0.7893941787166043,0.627794354623537,1.6092173367261955,-2.1931972956951835
A011,-0.42990640346242215,-0.35085007432983517,0.5054004470359447,-1.0149722830311911
A012,0.5988027045065897,0.5700854030615178,-0.6677715512210837,0.36148258564255403
A013,-0.8509197442671126,-0.7700538487999985,-0.2651117491179124,0.7126357127973436
A014,0.2346997554658375,0.14679399284858985,0.09404438643543692,-0.29566010887454675
A015,1.6726387936979679,1.5894083989703727,1.204465448042989,-1.0916392552055847
A016,0.7196600377568061,0.4541278950027016,1.5559270271891434,-1.9634337510911721
A017,0.8743794814628454,1.1946364958408129,-0.33308839249437217,0.36955542889411713
A018,0.5445553453108349,0.49996420334934116,1.0299544664485598,-1.4313454248899442
A019,-1.4708322669705722,-1.255802352849999,-1.4517158090743267,1.4617421004113695
A020,-0.6370943116690304,-0.7716023222704231,-0.8662217603100015,0.6218657392945113
A021,1.1649614708523226,1.1859308470391872,0.147867826449196,-0.5539240732431888
A022,1.134601164956827,1.3646158060778173,-1.0249163261437737,1.1556605489327816
A023,0.7478779904431394,0.7227517892286458,-0.05190797021178784,0.5148825227959279
A024,-0.3540332522914062,-0.43841156689516797,-0.9529573986806725,0.7642372336196962
A025,1.0253019880798933,0.8952105530109025,0.30384078270459663,-0.03358842190143028
A026,0.45172918930209716,0.4273871173517681,1.035000335919841,-0.8661020850137225
A027,0.22626347957559387,0.17274762661613777,0.6167702306197909,-0.2973957497380026
A028,-0.1171152401860411,-0.3420021671661829,1.2481954053831685,-1.3808056285335852
A029,1.235287238017755,1.1630616046417848,1.9415584731923774,-1.3746101253283995
A030,1.6728337280640864,1.833381867407747,0.06438430272900432,0.822909778130167
A031,-0.013278562618834795,-0.25553444207398834,0.5452747104063628,-1.1665085191382583
A032,0.82561241284152,0.8819085129562636,-0.6008144312015659,1.6209383746248873
A033,0.3511016658593124,0.5083625234786123,-1.2048614547637817,1.06439348822622
