K,inertia,BIC
1,399.9999999999999,418.42068074395223
2,194.7453835026896,231.58674499059435
3,128.3416193618659,183.603661593723
4,91.08125395558218,164.76397693139165
5,76.23983317086639,168.34323689062825
6,63.75819458175718,174.2822790454714
