cluster,N,Source_intercept_mean,Source_intercept_sd,Source_slope_mean,Source_slope_sd,Destination_intercept_mean,Destination_intercept_sd,Destination_slope_mean,Destination_slope_sd,label
0,20,0.2981519175718911,0.1529678860681677,0.030509421238728896,0.017821818117485396,0.5308832475300012,0.19103902839093115,-0.06306460904039943,0.02275594133585344,"Dual High: Source declines, Destination maintains"
1,26,-0.36835680601453363,0.12508304059714603,-0.037545122773627086,0.01242540110794558,-0.45976130188969555,0.18266432872179109,0.05455163015234648,0.023751321935330243,"Dual Low: Source maintains, Destination declines"
2,35,0.15740823302444096,0.1455839360399296,0.017716811488326274,0.018146263633297875,-0.08082291785559097,0.1643913586374399,0.02030277113453092,0.027600678664096268,Source > Destination: Both decline
3,19,-0.09973945004817758,0.15105095375364372,-0.013373875513246989,0.014441938927865682,0.21920689597251683,0.1716072391043411,-0.04566564172955865,0.02169420780873171,Destination > Source: Both maintain
