UID,cluster
A010,0
A011,3
A012,2
A013,1
A014,2
A015,0
A016,0
A017,2
A018,0
A019,1
A020,1
A021,2
A022,2
A023,2
A024,1
A025,2
A026,0
A027,3
A028,3
A029,0
A030,2
A031,3
A032,2
A033,2
A034,0
A035,3
A036,3
A037,2
A038,0
A039,0
A040,1
A041,2
A042,1
A043,2
A044,3
A045,1
A046,1
A047,1
A048,0
A049,2
A050,1
A051,3
A052,2
A053,3
A054,2
A055,1
A056,3
A057,1
A058,3
A059,0
A060,2
A061,0
A062,3
A063,2
A064,2
A065,1
A066,1
A067,1
A068,0
A069,1
A070,1
A071,2
A072,0
A073,2
A074,2
A075,2
A076,1
A077,2
A078,1
A079,3
A080,2
A081,2
A082,2
A083,0
A084,2
A085,2
A086,3
A087,0
A088,0
A089,0
A090,1
A091,3
A092,1
A093,2
A094,1
A095,3
A096,1
A097,2
A098,2
A099,0
A100,2
A101,3
A102,2
A103,3
A104,2
A105,3
A106,0
A107,1
A108,1
A109,1
