UID,baseline_accuracy,abs_calibration,mean_gamma,tertile_label,tertile_color
A010,2.7277744,0.9222855520483392,0.8087975967981167,High,#2CA02C
A011,0.99576205,0.6750059288417344,0.7323359121625159,Med,#FF7F0E
A012,1.5109797,0.0540397774211901,0.6589009143859523,High,#2CA02C
A013,0.2579466,0.143917784982565,0.5893212888140044,Low,#D62728
A014,0.9670465,0.4542356556548682,0.7523821770319997,Med,#FF7F0E
A015,1.7906865,1.0213358823555514,0.8161198662536613,High,#2CA02C
A016,1.3865802,0.0326674547903435,0.6524705992012328,High,#2CA02C
A017,-0.12061626,1.2909598762365395,0.7939525109286203,Low,#D62728
A018,0.34396127,0.5746391587372813,0.8241354341791747,Med,#FF7F0E
A019,-0.44238952,0.8678401021411237,0.489324340933177,Low,#D62728
A020,-0.036810145,0.6251410474586586,0.6946921990376206,Low,#D62728
A021,1.366235,0.0107488322934316,0.7352977036900308,High,#2CA02C
A022,0.1020859,1.7363442639288182,0.8716657368964856,Low,#D62728
A023,0.8812526,0.5791395134160389,0.7043767663191588,Med,#FF7F0E
A024,0.33348504,0.3054021136358853,0.6183653408533598,Low,#D62728
A025,0.99917114,0.7188903124450308,0.7539221609288492,Med,#FF7F0E
A026,1.0569059,0.0068874112639241,0.7502491954135558,High,#2CA02C
A027,0.9770042,0.1294129034852141,0.6847009993039486,Med,#FF7F0E
A028,1.5710772,0.1563221540811507,0.7240689915962377,High,#2CA02C
A029,1.7016916,0.0598640236478317,0.7914001739847072,High,#2CA02C
A030,0.33380765,0.3012616808348854,0.7687348083080575,Low,#D62728
A031,2.2557483,0.1066419585766023,0.715463131735327,High,#2CA02C
A032,0.8067235,0.8222226676146752,0.8019354050048755,Med,#FF7F0E
A033,0.43369794,0.1726991634838602,0.7114595187100575,Med,#FF7F0E
A034,2.0359054,0.7852822501280684,0.6703592265690714,High,#2CA02C
A035,-0.06479133,0.5131350534518677,0.72362744418315,Low,#D62728
A036,1.3283472,1.321270328268925,0.7925936629732135,High,#2CA02C
A037,1.1801162,0.7390303463570823,0.7113860827931164,High,#2CA02C
A038,1.2059275,0.438939018261418,0.6262323096308935,High,#2CA02C
A039,2.174663,0.0632848957946334,0.8395576569559432,High,#2CA02C
A040,-0.5069201,0.0535337369745649,0.6562877254804607,Low,#D62728
A041,1.1962991,0.2352415409742831,0.840427836974751,High,#2CA02C
A042,-0.8806226,0.1748298819145003,0.7015511276495059,Low,#D62728
A043,1.0349586,1.1361279550344436,0.5963662788368054,Med,#FF7F0E
A044,-0.0888245,0.1511013984129773,0.7436598846957784,Low,#D62728
A045,-0.9017756,0.7309540901290307,0.5519062008079034,Low,#D62728
A046,-0.7687857,1.331981695230426,0.3563667213700635,Low,#D62728
A047,-0.7466336,0.9169649407592162,0.4928345609044907,Low,#D62728
A048,1.0764405,0.1992729638365186,0.6294242847425373,High,#2CA02C
A049,2.1010969,0.2871028289641064,0.7864623718866928,High,#2CA02C
A050,-0.39878848,0.1585489500163616,0.7535295347093426,Low,#D62728
A051,1.5230782,0.9192509743243316,0.7421268344243306,High,#2CA02C
A052,0.58457315,0.212401845919169,0.715292494026571,Med,#FF7F0E
