comparison,method,r_or_rho,p_uncorrected,p_bonferroni,CI_lower,CI_upper,N
baseline_accuracy vs abs_calibration,Spearman,-0.061806180618061805,0.5412818838950533,1.0,-0.27371677016326973,0.12672590845861756,100
baseline_accuracy vs mean_gamma,Spearman,0.4612061206120611,1.3711014273176876e-06,2.7422028546353753e-06,0.27556955995048055,0.6227077089198355,100
