metric,test_used,statistic,p_value,tertile,mean,sd,median,iqr
abs_calibration,Kruskal-Wallis,2.275904060994378,0.32047467256661344,Low,0.5753273074291837,0.520460991571301,0.3446516830659821,0.6930102202266234
abs_calibration,Kruskal-Wallis,2.275904060994378,0.32047467256661344,Med,0.5204632826694057,0.36402673291909526,0.4756125745392973,0.5503291580523859
abs_calibration,Kruskal-Wallis,2.275904060994378,0.32047467256661344,High,0.4556973227834246,0.48327355856331045,0.28916428031342656,0.6249016542651141
mean_gamma,Kruskal-Wallis,21.161804415735674,2.5396423324074158e-05,Low,0.6171505929276493,0.1329144115841103,0.6328605882541591,0.1485476514540225
mean_gamma,Kruskal-Wallis,21.161804415735674,2.5396423324074158e-05,Med,0.7187277044240826,0.06907968175581325,0.7208965952897388,0.0925385712116521
mean_gamma,Kruskal-Wallis,21.161804415735674,2.5396423324074158e-05,High,0.7385863552952263,0.06311455417029024,0.7371121607106466,0.09462286315772506
