UID,baseline_accuracy,baseline_confidence,mean_calibration,mean_gamma
A010,2.7277744,0.9966144,-0.9222855520483393,0.8087975967981167
A011,0.99576205,2.008585,0.6750059288417344,0.7323359121625159
A012,1.5109797,1.096769,0.05403977742119015,0.6589009143859523
A013,0.2579466,0.14108829,-0.14391778498256502,0.5893212888140044
A014,0.9670465,1.5729513,0.4542356556548682,0.7523821770319997
A015,1.7906865,1.4229563,-1.0213358823555514,0.8161198662536613
A016,1.3865802,0.6762369,-0.03266745479034358,0.6524705992012328
A017,-0.12061626,1.2367781,1.2909598762365397,0.7939525109286203
A018,0.34396127,0.4011214,-0.5746391587372813,0.8241354341791747
A019,-0.44238952,-0.13678566,0.8678401021411237,0.489324340933177
A020,-0.036810145,0.4385481,0.6251410474586586,0.6946921990376206
A021,1.366235,1.2973111,0.010748832293431647,0.7352977036900308
A022,0.1020859,-1.0273978,-1.7363442639288182,0.8716657368964856
A023,0.8812526,0.8757261,0.5791395134160389,0.7043767663191588
A024,0.33348504,0.5364075,0.3054021136358853,0.6183653408533598
A025,0.99917114,0.7685537,-0.7188903124450308,0.7539221609288492
A026,1.0569059,0.56117547,-0.006887411263924115,0.7502491954135558
A027,0.9770042,1.0715036,0.12941290348521417,0.6847009993039486
A028,1.5710772,1.2547947,0.1563221540811507,0.7240689915962377
A029,1.7016916,1.6053915,-0.059864023647831714,0.7914001739847072
A030,0.33380765,0.23597223,-0.3012616808348854,0.7687348083080575
A031,2.2557483,2.0878112,-0.10664195857660236,0.715463131735327
A032,0.8067235,0.3052368,-0.8222226676146752,0.8019354050048755
A033,0.43369794,0.77137077,-0.17269916348386025,0.7114595187100575
A034,2.0359054,2.0106363,0.7852822501280684,0.6703592265690714
A035,-0.06479133,0.8264408,0.5131350534518677,0.72362744418315
A036,1.3283472,-0.8724763,-1.321270328268925,0.7925936629732135
A037,1.1801162,0.981827,-0.7390303463570823,0.7113860827931164
A038,1.2059275,1.2398889,0.438939018261418,0.6262323096308935
A039,2.174663,2.2039258,0.06328489579463348,0.8395576569559432
A040,-0.5069201,0.10722337,0.0535337369745649,0.6562877254804607
A041,1.1962991,1.1639924,0.23524154097428318,0.840427836974751
A042,-0.8806226,-0.26355729,0.1748298819145003,0.7015511276495059
A043,1.0349586,2.2976968,1.1361279550344436,0.5963662788368054
A044,-0.0888245,-0.48998752,-0.15110139841297732,0.7436598846957784
A045,-0.9017756,-0.1593461,0.7309540901290307,0.5519062008079034
A046,-0.7687857,0.676205,1.331981695230426,0.3563667213700635
A047,-0.7466336,0.3895279,0.9169649407592162,0.49283456090449074
A048,1.0764405,0.724293,-0.1992729638365186,0.6294242847425373
A049,2.1010969,1.5637307,-0.28710282896410644,0.7864623718866928
A050,-0.39878848,0.035831243,-0.15854895001636166,0.7535295347093426
A051,1.5230782,1.7638129,0.9192509743243316,0.7421268344243306
A052,0.58457315,1.0086244,0.212401845919169,0.715292494026571
A053,1.401935,0.7935923,-0.5859741222825883,0.7005693107528803
A054,0.52522403,1.6660749,-0.07256792377127516,0.7723439488524464
A055,0.28537354,0.8933571,-0.298174973530257,0.736928104668205
A056,0.5282342,0.35512546,-0.021899793152611563,0.6550707395921289
A057,0.4946756,0.7148236,0.04674882611523637,0.8082931244650196
A058,1.0215306,0.6129219,-0.6564337948156191,0.833005614584562
A059,0.99710035,0.35930577,-1.3354611150362674,0.7691846929882166
A060,-0.051358394,1.1899056,0.778056911771453,0.6023058985819659
A061,2.529091,3.035337,0.8428761533541376,0.6078002330594396
A062,1.5359104,0.8056381,-0.4804075537267943,0.736853481855767
A063,0.86206603,-0.22373737,-1.2822826061346455,0.7599357468306607
A064,0.83211017,0.97024375,-0.06502169671318292,0.585837698124944
A065,-2.2385516,-0.13690929,0.9203333955359398,0.29701006337900604
A066,0.46571386,0.46811906,0.19112375829186087,0.7324170759998266
A067,0.6627066,0.24262358,-0.3794763370916433,0.6766461217765645
A068,1.3038205,2.2656133,0.698093797276095,0.6801482444371946
A069,-0.7867887,0.25422466,0.22140070731523107,0.3408370524298823
A070,0.5967721,0.26595566,-0.7840872902111757,0.7117797860717998
A071,1.1001538,1.4062483,-0.14073690464403782,0.7373708395655261
A072,0.9622242,1.1476082,0.472817915837803,0.6491989643504047
A073,0.8751058,0.005702734,-0.6016409079556096,0.6679855193804154
A074,1.1391835,0.4057072,-0.21425764918822365,0.7832767322566275
A075,0.4822121,0.21868351,-0.3668780463465145,0.7884717707090892
A076,-0.39436588,-0.25764796,0.3014328928107419,0.4988664023337186
