schema_condition,timepoint,r_observed,CI_parametric_lower,CI_parametric_upper,CI_bootstrap_lower,CI_bootstrap_upper,agreement
Common,T1,0.4805218222455733,0.3137096355151283,0.6185606794091623,0.3755306155360204,0.5935105551692268,True
Common,T2,0.3529650332833987,0.1682050507149362,0.5137672027774332,0.20318024485421213,0.5090018065808084,True
Common,T4,0.4138920895685876,0.236714739626949,0.5644272754163756,0.28552558004244166,0.5412199721272296,True
Congruent,T1,0.4281756036887362,0.2530349569793297,0.5761419948722105,0.27094891460651427,0.5748352324882667,True
Congruent,T2,0.3268453645994866,0.1393712989450936,0.4917000974192455,0.20376285630927385,0.44671905793430705,True
Congruent,T4,0.5985927584337971,0.4557575310713783,0.711373533650183,0.5055194009591988,0.687414166551375,True
Incongruent,T1,0.4419112114134122,0.2688237251923984,0.5873502974871933,0.3423061164598388,0.5486671735619094,True
Incongruent,T2,0.4110576094529932,0.233487933536566,0.5620953250858995,0.27036045226956523,0.5403921691350746,True
Incongruent,T4,0.4323231568636847,0.2577926630081277,0.5795322873558337,0.29440475757623075,0.5652907793206449,True
