UID,test,schema_condition,theta_accuracy,theta_confidence
A010,T1,Common,1.6000581,-0.21837638
A010,T2,Common,0.4028944,-0.6135027
A010,T3,Common,-0.8561796,-0.71076155
A010,T4,Common,-0.14796121,-0.91344815
A011,T1,Common,0.5500402,0.06464064
A011,T2,Common,0.75908333,-0.46051827
A011,T3,Common,-0.6526953,-0.64517677
A011,T4,Common,-0.6465008,-0.70183563
A012,T1,Common,0.48022103,-0.11299584
A012,T2,Common,-0.25840938,-0.50322676
A012,T3,Common,0.65839624,-0.21468535
A012,T4,Common,0.055890147,-0.8530296
A013,T1,Common,-1.0432792,-0.59523505
A013,T2,Common,-0.48492253,-0.71096057
A013,T3,Common,0.6412586,-0.90336365
A013,T4,Common,-1.0111758,-1.0204393
A014,T1,Common,0.1288651,-0.31575117
A014,T2,Common,1.320731,-0.18863544
A014,T3,Common,0.48942116,-0.5067355
A014,T4,Common,-0.78735405,-0.5309494
A015,T1,Common,1.4246364,0.1478312
A015,T2,Common,1.1372008,-0.23167688
A015,T3,Common,1.4038924,-0.16636986
A015,T4,Common,-0.47030097,-0.647737
A016,T1,Common,1.3420854,-0.42651024
A016,T2,Common,0.5615982,-0.7083215
A016,T3,Common,0.17722866,-0.8704279
A016,T4,Common,-0.875939,-1.3285408
A017,T1,Common,-0.17695434,0.22713786
A017,T2,Common,0.741939,0.12913221
A017,T3,Common,0.18003759,0.25517404
A017,T4,Common,0.4956496,-0.10067907
A018,T1,Common,1.0604457,-0.26172757
A018,T2,Common,-0.07882557,-0.1593717
A018,T3,Common,-1.0491173,-0.75480217
A018,T4,Common,0.44031787,-0.9304417
A019,T1,Common,-0.8709922,-2.011773
A019,T2,Common,-0.35722595,-2.686788
A019,T3,Common,-0.8311249,-2.407096
A019,T4,Common,-0.5362667,-2.3311577
A020,T1,Common,0.3413008,-0.15611939
A020,T2,Common,0.4715719,-0.3256946
A020,T3,Common,0.16060348,-0.6582603
A020,T4,Common,-1.9810846,-1.5926524
A021,T1,Common,0.80163884,-0.5802737
A021,T2,Common,0.10639259,-0.41855347
A021,T3,Common,0.81882334,-0.46029195
A021,T4,Common,0.684539,-0.34437293
A022,T1,Common,-0.5011533,-1.2542998
A022,T2,Common,0.2091155,-1.8677373
A022,T3,Common,0.274723,-1.0122173
A022,T4,Common,0.382118,-2.1071615
A023,T1,Common,0.56837475,-0.3546272
A023,T2,Common,-0.05869632,-0.38793874
A023,T3,Common,0.17865486,-0.485421
A023,T4,Common,0.5444067,-0.19640866
A024,T1,Common,0.41629925,-0.6836894
A024,T2,Common,0.16924852,-0.31257537
A024,T3,Common,0.1597057,-0.43025056
A024,T4,Common,-0.92016464,-0.9618955
A025,T1,Common,1.3860037,-0.14081731
A025,T2,Common,1.3983331,-0.6132905
A025,T3,Common,-0.60741305,-0.88580674
A025,T4,Common,-0.2785447,-1.417594
A026,T1,Common,0.46583936,-0.36503953
A026,T2,Common,-0.6492574,-0.4322403
A026,T3,Common,0.53066975,-0.82322145
A026,T4,Common,-0.24492168,-0.48267612
A027,T1,Common,0.16586939,-0.34756047
A027,T2,Common,0.39497662,-0.4481119
A027,T3,Common,-0.28117114,-1.080568
A027,T4,Common,-0.5017699,-1.1325653
A028,T1,Common,1.5246681,-0.054767232
A028,T2,Common,-0.05649298,-0.33236355
A028,T3,Common,-0.29285774,-0.65912193
A028,T4,Common,-0.8199109,-0.63351375
A029,T1,Common,2.1297944,0.13776043
A029,T2,Common,0.2633854,-0.30871353
A029,T3,Common,0.59773153,-0.42374143
A029,T4,Common,0.7445269,-0.3897824
A030,T1,Common,0.26681468,-0.56138754
A030,T2,Common,0.6206771,-0.32249522
A030,T3,Common,0.26908645,-0.6964402
A030,T4,Common,0.2812115,-0.47005928
A031,T1,Common,1.4706349,0.049898673
A031,T2,Common,0.32438183,-0.3403696
A031,T3,Common,0.38665065,-0.6998162
A031,T4,Common,-1.0031985,-0.96404403
A032,T1,Common,0.82081884,-0.22113344
A032,T2,Common,-0.60881156,-0.595588
A032,T3,Common,0.47702068,-0.7790153
A032,T4,Common,1.7664504,-0.6906261
A033,T1,Common,-0.4666309,-0.3509539
A033,T2,Common,-0.5709601,-0.501959
A033,T3,Common,0.934703,-0.16663325
A033,T4,Common,-0.24082223,-0.49842402
A034,T1,Common,1.3387271,-0.14991783
A034,T2,Common,1.1189219,0.09972168
A034,T3,Common,-0.46482885,-0.34408543
A034,T4,Common,0.049237438,-0.40043807
A035,T1,Common,-0.80652094,-0.58748883
A035,T2,Common,1.1643237,-0.30964813
A035,T3,Common,-0.59551436,-0.54351425
A035,T4,Common,-0.8755717,-0.7079246
A036,T1,Common,0.74764776,-1.5120503
A036,T2,Common,-0.5022708,-2.3538072
A036,T3,Common,-0.018576257,-2.1430519
A036,T4,Common,-1.1207412,-2.464137
A037,T1,Common,1.6113735,0.021304155
A037,T2,Common,1.1598858,-0.29204315
A037,T3,Common,-0.4739782,-0.833713
A037,T4,Common,0.41819012,-0.9017182
A038,T1,Common,1.078226,-0.41689023
A038,T2,Common,-0.3119291,-0.06612973
A038,T3,Common,1.2023473,-0.26191536
A038,T4,Common,0.5360858,-0.1494768
A039,T1,Common,2.113206,0.04606813
A039,T2,Common,0.72722864,0.06751655
A039,T3,Common,0.6532409,-0.3234957
A039,T4,Common,-0.19232592,-0.57331944
A040,T1,Common,-1.5618265,-0.6803081
A040,T2,Common,-0.31991416,-0.41427943
A040,T3,Common,-1.1753646,-0.7175777
A040,T4,Common,-0.6841468,-0.8190462
A041,T1,Common,1.2749807,-0.010779982
A041,T2,Common,-1.0111216,-0.48086694
A041,T3,Common,-0.52210444,-0.5167431
A041,T4,Common,0.22386456,-0.07898983
A042,T1,Common,-0.38919944,-0.9334406
A042,T2,Common,-0.94573104,-1.0527481
A042,T3,Common,-0.60165393,-1.1168188
A042,T4,Common,-0.919106,-1.0435822
A043,T1,Common,1.0159061,0.1643919
A043,T2,Common,0.23345459,-0.0024266364
A043,T3,Common,-0.1154044,-0.3027487
A043,T4,Common,0.06730463,-0.826215
A044,T1,Common,-0.021611089,-1.4819484
A044,T2,Common,0.33177772,-1.0400189
A044,T3,Common,-1.3885521,-1.4695228
A044,T4,Common,-0.6907909,-1.9270798
A045,T1,Common,-0.8811096,-0.9359746
A045,T2,Common,0.25599375,-0.6580216
A045,T3,Common,0.28792378,-0.42298278
A045,T4,Common,-0.73880816,-1.1237898
A046,T1,Common,-0.8263327,-0.9113336
A046,T2,Common,-1.0503073,-1.1981308
A046,T3,Common,-1.6721164,-2.1658566
A046,T4,Common,-1.5642638,-1.373417
A047,T1,Common,0.032663453,-0.56552744
A047,T2,Common,0.31397206,-0.93490225
A047,T3,Common,-1.4813104,-1.6972852
A047,T4,Common,-1.0614867,-1.9098914
A048,T1,Common,1.0506663,-0.40749374
A048,T2,Common,-0.6741307,-0.45462096
A048,T3,Common,-0.10325131,-0.55575866
A048,T4,Common,0.48396504,-0.60425943
A049,T1,Common,1.7571232,0.08177118
A049,T2,Common,-0.60318244,-0.67195165
A049,T3,Common,0.6597407,-0.58506674
A049,T4,Common,0.3402084,-0.56061625
A050,T1,Common,-0.32734805,-0.31997022
A050,T2,Common,-0.5032114,-0.4005781
A050,T3,Common,-0.91217804,-1.0333242
A050,T4,Common,-0.3601759,-1.106875
A051,T1,Common,0.88582057,-0.1108271
A051,T2,Common,-0.28985074,-0.18552285
A051,T3,Common,-0.6146358,-0.76086634
A051,T4,Common,-0.11835715,-0.6243035
A052,T1,Common,0.7985213,-0.22485016
A052,T2,Common,-0.44622117,-0.42082825
A052,T3,Common,-0.017932264,-0.7195091
A052,T4,Common,0.04671596,-0.37780705
A053,T1,Common,1.12028,-0.2885017
A053,T2,Common,0.83742,-1.151551
A053,T3,Common,-0.50420165,-1.3463821
A053,T4,Common,-0.45412505,-1.4907095
A054,T1,Common,0.18263195,-0.056274697
A054,T2,Common,0.97050226,-0.26078853
A054,T3,Common,0.35355416,-0.31726465
A054,T4,Common,1.2971294,-0.14879209
A055,T1,Common,-0.84173906,-0.4624914
A055,T2,Common,0.4803198,-0.8469799
A055,T3,Common,-1.0578766,-0.9266651
A055,T4,Common,-1.1588173,-1.1564229
A056,T1,Common,0.57677263,-0.37090066
A056,T2,Common,-0.4870755,-0.90483737
A056,T3,Common,0.41734344,-0.6239769
A056,T4,Common,-1.3208041,-0.94452196
A057,T1,Common,-0.6586051,-0.26362598
A057,T2,Common,-0.5845993,-0.54752463
A057,T3,Common,-0.740959,-0.8209368
A057,T4,Common,-1.6140344,-1.2538073
A058,T1,Common,1.2305706,-0.3399614
A058,T2,Common,-1.1810384,-0.84075606
A058,T3,Common,-0.43858027,-0.62917006
A058,T4,Common,-0.59969,-1.0041165
A059,T1,Common,0.9413848,-0.4285835
A059,T2,Common,1.2146442,-0.47496137
A059,T3,Common,1.4220468,-0.35404447
A059,T4,Common,0.37158412,-0.6274229
A060,T1,Common,-0.41893917,-0.74563795
A060,T2,Common,0.87463915,-0.3368844
A060,T3,Common,-0.51012707,-0.34967044
A060,T4,Common,0.5292025,-0.20497432
A061,T1,Common,2.0136983,0.3947461
A061,T2,Common,0.953521,0.087225094
A061,T3,Common,-0.3127364,-0.2856871
A061,T4,Common,-0.5812956,-0.05185156
A062,T1,Common,2.011653,-0.20855646
A062,T2,Common,-0.35419762,-0.45205197
A062,T3,Common,-0.97456145,-1.1101943
A062,T4,Common,-1.426174,-1.3933127
A063,T1,Common,1.0972812,-0.95948935
A063,T2,Common,0.82705617,-2.3416061
A063,T3,Common,0.27556694,-2.0750527
A063,T4,Common,-0.8945666,-2.173833
A064,T1,Common,1.2642903,-0.2963664
A064,T2,Common,0.73144156,-0.6476674
A064,T3,Common,0.31989926,-0.99105424
A064,T4,Common,-0.92497724,-0.5029341
A065,T1,Common,-1.3171538,-0.4977671
A065,T2,Common,0.06738905,-1.3151283
A065,T3,Common,-1.744844,-2.1409612
A065,T4,Common,-2.1507194,-1.848042
A066,T1,Common,0.52085555,-0.77083856
A066,T2,Common,-0.2666786,-0.45716655
A066,T3,Common,-0.3462124,-0.71318924
A066,T4,Common,-0.95671576,-1.6997578
A067,T1,Common,0.43133983,-0.34338585
A067,T2,Common,-1.2040907,-1.4682014
A067,T3,Common,-1.468142,-1.4417359
A067,T4,Common,-1.2924346,-1.6056634
A068,T1,Common,1.1973321,0.029441586
