test,day_label,mean_TSVR_hours,mean_theta_acc,SE_theta_acc,mean_theta_conf,SE_theta_conf,N
1,Day0,1.0,0.66065131715,0.08809563441501064,0.7092756315699998,0.08467412950632973,100
2,Day1,28.769699999999997,0.10534006147,0.0846082547651495,0.12427686751,0.08913182414967258,100
3,Day3,78.6681,-0.2414396994,0.08106218659355688,-0.21424935327999997,0.08660261645350112,100
4,Day6,151.37520000000004,-0.4998326506259999,0.08242084236830738,-0.4954290424100001,0.09351716505411847,100
