model,intercept,slope,intercept_se,slope_se,slope_p,aic,bic
Accuracy,0.45781788634640486,-0.006953279923605121,0.075843215330831,0.0005202962703130009,9.804233297125716e-41,,
Confidence,0.4996815287056146,-0.007216159358586596,0.08495729448642718,0.00039605044623465703,3.561735915076113e-74,,
