iteration,boot_statistic
1,-0.0015037849455348828
2,-0.00010643225962696999
3,-0.001312275459163884
4,-0.0015674112279052542
5,-0.0005468989344327171
6,-0.00028018269281507107
7,-0.0005830297648089081
8,-0.0012716453933325628
9,-0.00013437463747765203
10,-0.0014060072341246716
11,-0.00094421372028111
12,-0.0007997648331033607
13,-0.0011367061976661583
14,-0.0008787684135759447
15,-0.0005253373019530096
16,-0.00015676031096092515
17,-0.0008397501198543197
18,-0.001141800959347402
19,-0.000958206747985187
20,0.00028475444850081935
21,-0.0008584619123435438
22,-0.0011059524801930213
23,-0.0008186360816488974
24,0.00023743397049102367
25,-0.001291916899768944
26,-0.001573437286118713
27,-0.0010561216677320779
28,-0.0004268850610100998
29,-0.000847488878448707
30,-0.001218472778991815
31,-0.0013061690893621588
32,-0.0008770646167534353
33,-0.000847377316896882
34,-0.0010282837654170523
35,-0.00020608656405209672
36,-0.0012937403147970361
37,-0.0007369551127411794
38,-0.00018634401174101375
39,7.130060487245571e-05
40,-0.001853293785556577
41,0.0005326383659475728
42,-0.00047843460827053373
43,-0.00011862514365928242
44,-0.001008385294638088
45,0.0005732083663650968
46,-0.0016004825720377935
47,-6.475609808240154e-05
48,-0.0008313431307783265
49,-0.0005989959486480687
50,0.000207814353887386
51,-0.001372661455197509
52,-0.0010829692200820568
53,-0.0011516095245021505
54,-0.0010996923011253857
55,-0.0013976938384458462
56,-0.000536617390022606
57,-0.0007695699621177491
58,-0.001779291054927687
59,-0.0010346702090343817
60,-0.0014802065469629398
61,8.926982588861049e-05
62,-0.0012364556078699122
63,-0.00010195193309369525
64,-0.0004518007634266932
65,-0.0005561574713322851
66,-0.0014624425719656485
67,-0.0009269726495153946
68,-0.00022431887458901565
69,7.558441098181108e-05
70,-0.0005481150150328072
71,-0.0005822190818707168
72,-0.0020615321243616664
73,-0.00011155105658513586
74,-0.0004726325561309014
75,-0.0013858807430083416
76,-0.0008703153880139528
77,0.0003997421556944046
78,-0.00045763005599912574
79,-0.0005684601356034262
80,-9.442215923067975e-05
81,0.00013947674811806585
82,-0.0010761165993562704
83,-0.00057286215285278
84,-0.0009114620631209809
85,-0.0005111156282496086
86,-0.0005104483137242786
87,-0.0015132193541610825
88,-0.0010805525353515897
89,-0.0012626352898585538
90,-0.0006763150186853649
91,-0.00014484069596178172
92,-0.0005398902205052848
93,-0.00034502640119018075
94,-0.0018520693514001631
95,-0.0007037121656519502
96,-0.002138233614518941
97,0.0002751801982051887
98,0.00023265309943346912
99,-0.0005452825154557874
100,-0.0009535206329894375
101,-0.001255570609947487
102,-0.00028004186808727234
103,-0.0004304181953339418
104,-0.0018873430910939634
105,-0.0009592695122655552
106,0.0004391577502940144
107,-0.0007514498544884418
108,-0.0013221705021313481
109,-0.00025177710901359867
110,-0.0003268621882469797
111,-0.001695580690221377
112,-0.000710511456734495
113,-0.0001628109710281398
114,-0.000939770159104978
115,-0.0009209873093912235
116,-0.0006341129485414958
117,0.00022658495961340317
118,-0.0009010969568040864
119,-0.000928226746231178
120,-0.0008179799424176325
121,-0.0014324310785003025
122,-0.0002701623899128256
123,0.0003280745128804926
124,-0.0009613774816213918
125,2.9651355634599018e-05
126,0.00030662731238706534
127,-0.0010526063422004424
128,-0.0017560929344552115
129,-0.0010651069157081735
130,-0.0004325929367642624
131,-0.0010805923931844008
132,-6.197180175540666e-05
133,-0.0006950262350960911
134,-0.0004125587089887993
135,-0.0015033982744586
136,-0.0007369471189558311
137,-0.0010227623884970381
138,-0.0007562194201484929
139,-0.0012991188021366585
140,-0.0010067895555304995
141,-0.0011409911284478724
142,-0.0005629310107833796
143,0.0002576838585093859
144,-0.0006588853022087469
145,-0.0006084384819068327
146,-0.0007959561512652314
147,0.00014776062893078693
148,-0.0019081965878495458
149,-0.001292312198308017
150,-0.0006124420109795047
151,-0.0010333624111794342
152,-0.0014627227000261467
153,-0.0008686486120013039
154,-0.0007728321863400378
155,-0.00043795202366459423
156,-0.0003823114997065964
157,-0.0009974803673065095
158,-0.00022232748564525857
159,-0.0005076793995892031
160,0.00034953349304528696
161,-0.0004111757177716569
162,-9.318693329372376e-05
163,-0.0012299801253070413
164,-0.0002764597678410573
165,-0.0016363575534579895
166,-0.0007821999722297741
167,-0.002110548837970142
168,-0.00010951713128989112
169,-0.0011844072056075691
170,-0.0008376247968294493
171,-0.0004900545010866268
172,-0.0013629637413518367
173,-0.0010099321978438794
174,-0.0009583242429543272
175,-0.0008178265993921616
176,-0.00032907079454347766
177,-0.0012094780454242268
178,-0.0008026627388109604
179,-0.0002046904642164067
180,-0.00027005529832365474
181,-0.00017195612812288512
182,-0.000112089141995169
183,-0.0005953659542453295
184,-0.00015802360951383993
185,-0.000860880010733161
