theoretical_quantiles,sample_quantiles,distribution
-2.462037838102703,-0.0161431554573696,difference
-2.1257074746933653,-0.0141565856142419,difference
-1.9312277827804367,-0.0120586991511459,difference
-1.7904465342732112,-0.0108498050122278,difference
-1.6781930370786058,-0.0107195359987493,difference
-1.5838112162506244,-0.010290012296839,difference
-1.5017412294304249,-0.0099880832332457,difference
-1.4286974291339625,-0.0095389663301958,difference
-1.3625686885828108,-0.0094157169170257,difference
-1.3019141112443755,-0.0082481893555173,difference
-1.2457041936148356,-0.0081087956379956,difference
-1.193176441605667,-0.0080978944129508,difference
-1.143749485502422,-0.0079511741978109,difference
-1.0969693060848436,-0.0069862187382984,difference
-1.0524741259576968,-0.0069530160225146,difference
-1.0099706729478057,-0.0067080773132993,difference
-0.9692176504302809,-0.0064101754101287,difference
-0.9300139304973768,-0.0059076107609737,difference
-0.8921899326447481,-0.0054786649934819,difference
-0.8556012056802296,-0.0052787200718568,difference
-0.8201235674462595,-0.0049900393745558,difference
-0.785649367741004,-0.0048170388370182,difference
-0.7520845753104081,-0.0047403511269649,difference
-0.7193464789738816,-0.0045103812934449,difference
-0.6873618529307793,-0.0044650898455909,difference
-0.6560654774230213,-0.0043834366102753,difference
-0.6253989346260144,-0.0043141510984187,difference
-0.5953096199841738,-0.004159975636161,difference
-0.5657499238413136,-0.0040442536883091,difference
-0.5366765488841237,-0.0036269071204948,difference
-0.5080499367898604,-0.0036244629323015,difference
-0.4798337833457809,-0.0035261949196712,difference
-0.45199462574030413,-0.0034544433018345,difference
-0.4245014891018209,-0.0033795218163988,difference
-0.3973255819556084,-0.0033354088637854,difference
-0.37044003228000966,-0.0032061990934276,difference
-0.34381965741338055,-0.0025700320619513,difference
-0.3174407622985043,-0.0025650947938772,difference
-0.29128096152908695,-0.0023464438673886,difference
-0.2653190214417687,-0.0021190368935501,difference
-0.23953471912057978,-0.0021065464308076,difference
-0.21390871568214873,-0.0020436468423617,difference
-0.18842244161461008,-0.0019263236827371,difference
-0.16305799227050835,-0.0017547926681601,difference
-0.13779803187912681,-0.0016883836219684,difference
-0.11262570465820963,-0.0016358017559341,difference
-0.0875245517780601,-0.0015433139303583,difference
-0.062478433069518405,-0.0013863069992828,difference
-0.03747145247676534,-0.0012766172522673,difference
-0.012487886340462835,-0.0012209924762955,difference
0.012487886340462974,-0.0011887077090047,difference
0.03747145247676534,-0.0011015912912416,difference
0.062478433069518405,-0.0008699367982194,difference
0.0875245517780601,-0.0007860499070701,difference
0.1126257046582095,-0.0007511921655363,difference
0.13779803187912695,-0.0002789608855455,difference
0.16305799227050835,-8.697152354401883e-05,difference
0.18842244161461008,-5.691971164779007e-05,difference
0.21390871568214873,6.312740069063308e-05,difference
0.23953471912057964,0.0002705674897671,difference
0.26531902144176883,0.0003960061641755,difference
0.29128096152908695,0.0009102977494345,difference
0.3174407622985043,0.001226870405802,difference
0.34381965741338055,0.0013285417319086,difference
0.3704400322800098,0.0018958090453684,difference
0.3973255819556086,0.0022129928428572,difference
0.4245014891018209,0.0022330503531309,difference
0.45199462574030447,0.0023973872155874,difference
0.4798337833457813,0.002422863923913,difference
0.5080499367898608,0.0024443466164524,difference
0.536676548884124,0.0025312099078315,difference
0.5657499238413138,0.0027400162227838,difference
0.5953096199841742,0.0032613831730686,difference
0.6253989346260147,0.0033422391392618,difference
0.6560654774230218,0.0033987517514192,difference
0.6873618529307797,0.0039285076336988,difference
0.7193464789738817,0.0040801588759976,difference
0.7520845753104085,0.00428028414362,difference
0.7856493677410045,0.0043545401288794,difference
0.8201235674462599,0.0043822230527806,difference
0.85560120568023,0.0046570801460131,difference
0.8921899326447483,0.0050899601161263,difference
0.9300139304973774,0.0051195751811788,difference
0.9692176504302812,0.0052510809689335,difference
1.0099706729478062,0.0055834111486837,difference
1.052474125957697,0.0057567792633623,difference
1.096969306084844,0.0058507550981493,difference
1.1437494855024228,0.00617365708657,difference
1.1931764416056674,0.0064398309596693,difference
1.2457041936148365,0.0065038812970028,difference
1.3019141112443762,0.0067940784169246,difference
1.3625686885828108,0.0073287930654144,difference
1.4286974291339636,0.0075628238676948,difference
1.5017412294304258,0.0079464438105669,difference
1.5838112162506248,0.0085053295600372,difference
1.678193037078607,0.0096533593367537,difference
1.7904465342732117,0.0103632266911454,difference
1.9312277827804387,0.010590885867817,difference
2.125707474693368,0.0121414020108021,difference
2.462037838102703,0.0123260594635488,difference
-2.115835473844759,-0.0329950600098613,ratio
-1.7314905957386761,0.2515165403851424,ratio
-1.502716459707847,0.3366663231065687,ratio
-1.3332186766613516,0.3715247176609247,ratio
-1.195202485598314,0.4171734234826308,ratio
-1.076830932948469,0.4437485247852235,ratio
-0.9718932083039024,0.4519116592746324,ratio
-0.8766964148973657,0.5199315929991851,ratio
-0.7888504308416796,0.5531688610147772,ratio
-0.70670904762912,0.5895606895668426,ratio
-0.6290822941099152,0.6224576040489256,ratio
-0.5550754455501072,0.6649099898475721,ratio
-0.4839928650962142,0.6669795177483653,ratio
-0.41527744814606005,0.6686586668124641,ratio
-0.3484707406608324,0.6745815480004157,ratio
-0.2831856086661852,0.6751757745057511,ratio
-0.2190867971740725,0.69100357540099,ratio
-0.15587657387890266,0.7020030038492094,ratio
-0.09328369317973434,0.7341124763060973,ratio
-0.0310545171898525,0.7539512434496966,ratio
0.0310545171898525,0.7660575328402658,ratio
0.09328369317973448,0.7968268925811142,ratio
0.15587657387890252,0.8074447271725891,ratio
0.2190867971740725,0.8416708131810017,ratio
0.28318560866618503,0.8832974351951985,ratio
0.3484707406608324,0.9770530910383578,ratio
0.41527744814605977,0.9947869347974516,ratio
0.483992865096214,1.028440040204896,ratio
0.555075445550107,1.0616424934447466,ratio
0.6290822941099152,1.074325655802216,ratio
0.70670904762912,1.1107892555509156,ratio
0.7888504308416792,1.120401913048498,ratio
0.8766964148973653,1.180326439078348,ratio
0.9718932083039018,1.2178313734152753,ratio
1.0768309329484687,1.2914972344404865,ratio
1.1952024855983137,1.3779515837651437,ratio
1.3332186766613505,1.4815252099463097,ratio
1.502716459707846,1.4928298601224603,ratio
1.731490595738675,1.6440550192748618,ratio
2.115835473844759,1.6614958704571292,ratio
