UID,test,TSVR_hours,theta_value,measure_type
A010,1,1.0,2.7277744,accuracy
A010,2,21.9,0.4830945,accuracy
A010,3,80.88,-0.063471645,accuracy
A010,4,145.31,0.7356485,accuracy
A011,1,1.0,0.99576205,accuracy
A011,2,24.57,0.40040046,accuracy
A011,3,72.55,-0.62277347,accuracy
A011,4,148.85,-0.48618072,accuracy
A012,1,1.0,1.5109797,accuracy
A012,2,25.6,-0.3742091,accuracy
A012,3,166.33,0.8594104,accuracy
A012,4,166.87,-0.57650775,accuracy
A013,1,1.0,0.2579466,accuracy
A013,2,24.77,-0.576954,accuracy
A013,3,79.66,0.15941933,accuracy
A013,4,147.13,-0.50066453,accuracy
A014,1,1.0,0.9670465,accuracy
A014,2,25.66,1.7351536,accuracy
A014,3,70.56,0.37096328,accuracy
A014,4,148.87,-0.60555935,accuracy
A015,1,1.0,1.7906865,accuracy
A015,2,23.69,1.9530646,accuracy
A015,3,70.59,1.7458305,accuracy
A015,4,146.54,0.74841046,accuracy
A016,1,1.0,1.3865802,accuracy
A016,2,32.85,0.23833106,accuracy
A016,3,80.64,-0.063229874,accuracy
A016,4,150.8,-1.1086501,accuracy
A017,1,1.0,-0.12061626,accuracy
A017,2,20.61,1.2353034,accuracy
A017,3,61.28,0.18662216,accuracy
A017,4,140.49,0.04002261,accuracy
A018,1,1.0,0.34396127,accuracy
A018,2,34.03,-0.10368377,accuracy
A018,3,83.64,-0.6740158,accuracy
A018,4,150.87,0.015628511,accuracy
A019,1,1.0,-0.44238952,accuracy
A019,2,28.69,-1.233944,accuracy
A019,3,83.68,-1.1916012,accuracy
A019,4,154.76,-1.652823,accuracy
A020,1,1.0,-0.036810145,accuracy
A020,2,26.85,-0.4131784,accuracy
A020,3,78.25,-0.9177355,accuracy
A020,4,145.78,-2.2843106,accuracy
A021,1,1.0,1.366235,accuracy
A021,2,30.21,0.648662,accuracy
A021,3,74.19,0.3772473,accuracy
A021,4,140.39,0.77024406,accuracy
A022,1,1.0,0.1020859,accuracy
A022,2,24.15,0.4643598,accuracy
A022,3,74.46,-0.11233316,accuracy
A022,4,141.71,0.0056279004,accuracy
A023,1,1.0,0.8812526,accuracy
A023,2,25.63,-0.48242265,accuracy
A023,3,72.2,0.13040453,accuracy
A023,4,145.07,0.004668119,accuracy
A024,1,1.0,0.33348504,accuracy
A024,2,29.57,0.10314593,accuracy
A024,3,91.47,0.1529355,accuracy
A024,4,145.65,-0.7700928,accuracy
A025,1,1.0,0.99917114,accuracy
A025,2,23.33,1.6789465,accuracy
A025,3,72.94,-0.15189764,accuracy
A025,4,137.74,-1.1388493,accuracy
A026,1,1.0,1.0569059,accuracy
A026,2,26.48,0.062489662,accuracy
A026,3,75.46,0.7757372,accuracy
A026,4,147.65,-0.26765063,accuracy
A027,1,1.0,0.9770042,accuracy
A027,2,28.26,0.3337341,accuracy
A027,3,74.58,-0.7031997,accuracy
A027,4,145.92,-0.8390413,accuracy
A028,1,1.0,1.5710772,accuracy
A028,2,22.82,-0.19436406,accuracy
A028,3,72.26,-0.0985842,accuracy
A028,4,138.91,-0.7637951,accuracy
A029,1,1.0,1.7016916,accuracy
A029,2,28.43,0.3401657,accuracy
A029,3,93.26,1.2822845,accuracy
A029,4,143.14,0.7683035,accuracy
A030,1,1.0,0.33380765,accuracy
A030,2,32.95,1.2043047,accuracy
A030,3,71.93,-0.12868379,accuracy
A030,4,150.46,0.33196774,accuracy
A031,1,1.0,2.2557483,accuracy
A031,2,32.41,0.018638758,accuracy
A031,3,71.56,-0.04251805,accuracy
A031,4,143.85,-0.57443035,accuracy
A032,1,1.0,0.8067235,accuracy
A032,2,57.18,-0.12246857,accuracy
A032,3,80.16,0.6580906,accuracy
A032,4,144.51,1.5530372,accuracy
A033,1,1.0,0.43369794,accuracy
A033,2,29.16,0.5100616,accuracy
A033,3,72.6,0.9657034,accuracy
A033,4,168.33,-0.40873924,accuracy
A034,1,1.0,2.0359054,accuracy
A034,2,26.08,0.65717703,accuracy
A034,3,74.28,-0.10081277,accuracy
A034,4,145.38,-0.1552254,accuracy
A035,1,1.0,-0.06479133,accuracy
A035,2,44.76,0.7425775,accuracy
A035,3,79.98,-0.4961729,accuracy
A035,4,152.47,-0.98961914,accuracy
A036,1,1.0,1.3283472,accuracy
A036,2,21.63,-0.15242939,accuracy
A036,3,71.47,-0.39740184,accuracy
A036,4,143.85,-1.0100961,accuracy
A037,1,1.0,1.1801162,accuracy
A037,2,23.7,1.2522094,accuracy
A037,3,72.08,0.29365978,accuracy
A037,4,143.66,-0.16601759,accuracy
A038,1,1.0,1.2059275,accuracy
A038,2,71.85,-0.16850944,accuracy
A038,3,72.86,0.9667946,accuracy
A038,4,152.89,-0.017467948,accuracy
A039,1,1.0,2.174663,accuracy
A039,2,28.65,1.3026897,accuracy
A039,3,98.84,0.567675,accuracy
A039,4,246.24,0.72307914,accuracy
A040,1,1.0,-0.5069201,accuracy
A040,2,26.26,0.14172223,accuracy
A040,3,71.28,-1.6828778,accuracy
A040,4,143.53,-1.6119773,accuracy
A041,1,1.0,1.1962991,accuracy
A041,2,31.78,-1.1736511,accuracy
A041,3,75.74,0.2872409,accuracy
A041,4,141.84,0.1290578,accuracy
A042,1,1.0,-0.8806226,accuracy
A042,2,28.93,-0.99250966,accuracy
A042,3,72.17,-0.17139933,accuracy
A042,4,146.02,-1.260689,accuracy
A043,1,1.0,1.0349586,accuracy
A043,2,25.62,0.5667534,accuracy
A043,3,64.94,0.56906503,accuracy
A043,4,149.33,-0.36708274,accuracy
A044,1,1.0,-0.0888245,accuracy
A044,2,47.66,-0.37333766,accuracy
A044,3,91.63,-1.308094,accuracy
A044,4,155.27,-1.7971689,accuracy
A045,1,1.0,-0.9017756,accuracy
A045,2,24.66,-1.0143217,accuracy
A045,3,72.23,-1.1242429,accuracy
A045,4,151.52,-1.2476392,accuracy
A046,1,1.0,-0.7687857,accuracy
A046,2,24.32,-1.3034526,accuracy
A046,3,73.05,-1.624248,accuracy
A046,4,147.94,-1.154563,accuracy
A047,1,1.0,-0.7466336,accuracy
A047,2,23.46,-0.5145792,accuracy
A047,3,76.85,-1.2429395,accuracy
A047,4,144.22,-1.600209,accuracy
A048,1,1.0,1.0764405,accuracy
A048,2,23.91,-0.06019045,accuracy
A048,3,81.15,0.14282681,accuracy
A048,4,146.3,0.09614354,accuracy
A049,1,1.0,2.1010969,accuracy
A049,2,27.12,-0.5321013,accuracy
A049,3,111.38,0.37812865,accuracy
A049,4,168.86,0.034191336,accuracy
A050,1,1.0,-0.39878848,accuracy
A050,2,24.73,-0.71372736,accuracy
A050,3,93.39,-0.9261868,accuracy
A050,4,148.69,-1.1381246,accuracy
A051,1,1.0,1.5230782,accuracy
A051,2,17.16,-0.30774206,accuracy
A051,3,65.63,-0.6520249,accuracy
A051,4,146.99,-0.72000563,accuracy
A052,1,1.0,0.58457315,accuracy
A052,2,31.76,0.3844317,accuracy
A052,3,80.98,0.116021834,accuracy
A052,4,153.27,-0.8312764,accuracy
A053,1,1.0,1.401935,accuracy
A053,2,32.71,0.97594434,accuracy
A053,3,78.28,-0.40916884,accuracy
A053,4,148.9,-0.13549207,accuracy
A054,1,1.0,0.52522403,accuracy
A054,2,16.9,1.1258696,accuracy
A054,3,72.83,1.191061,accuracy
A054,4,136.83,1.2362738,accuracy
A055,1,1.0,0.28537354,accuracy
A055,2,23.24,0.8647509,accuracy
