measure,mean,SD,skewness,kurtosis,min,max
accuracy,0.66065131715,0.8809563441501064,-0.2734215735619245,0.22672184729547817,-2.2385516,2.7277744
confidence,0.7092756315699998,0.8467412950632973,-0.2833220089653194,0.5228550523307174,-1.8178651,3.035337
