composite_ID,UID,test,paradigm,theta,Age
A042_3,A042,3,IFR,-0.5476192,38.0
A042_4,A042,4,IFR,-0.8089415,38.0
A043_1,A043,1,IFR,0.9052307,38.0
A043_2,A043,2,IFR,0.115137,38.0
A043_3,A043,3,IFR,0.2997891,38.0
A043_4,A043,4,IFR,0.048738178,38.0
A044_1,A044,1,IFR,-0.8060287,38.0
A044_2,A044,2,IFR,-0.19541748,38.0
A044_3,A044,3,IFR,-1.4959046,38.0
A044_4,A044,4,IFR,-1.0974785,38.0
A045_1,A045,1,IFR,-0.76336116,37.0
A045_2,A045,2,IFR,-0.47526395,37.0
A045_3,A045,3,IFR,-0.4236594,37.0
A045_4,A045,4,IFR,-1.2165346,37.0
A046_1,A046,1,IFR,-0.77469015,38.0
A046_2,A046,2,IFR,-1.245836,38.0
A046_3,A046,3,IFR,-1.6056858,38.0
A046_4,A046,4,IFR,-1.0504586,38.0
A047_1,A047,1,IFR,-0.5218471,36.0
A047_2,A047,2,IFR,-0.38599724,36.0
A047_3,A047,3,IFR,-1.1630286,36.0
A047_4,A047,4,IFR,-0.8443499,36.0
A048_1,A048,1,IFR,1.4464241,38.0
A048_2,A048,2,IFR,-0.24025916,38.0
A048_3,A048,3,IFR,0.37180644,38.0
A048_4,A048,4,IFR,0.32747135,38.0
A049_1,A049,1,IFR,1.9369724,35.0
A049_2,A049,2,IFR,-0.40477413,35.0
A049_3,A049,3,IFR,0.5799155,35.0
A049_4,A049,4,IFR,0.29279515,35.0
A050_1,A050,1,IFR,0.10375316,41.0
A050_2,A050,2,IFR,-0.20866837,41.0
A050_3,A050,3,IFR,-0.78698945,41.0
A050_4,A050,4,IFR,-0.7662721,41.0
A051_1,A051,1,IFR,1.1308651,41.0
A051_2,A051,2,IFR,-0.1484353,41.0
A051_3,A051,3,IFR,-0.51630783,41.0
A051_4,A051,4,IFR,-0.24947512,41.0
A052_1,A052,1,IFR,0.8560208,43.0
A052_2,A052,2,IFR,0.514484,43.0
A052_3,A052,3,IFR,0.336497,43.0
A052_4,A052,4,IFR,-0.45561698,43.0
A053_1,A053,1,IFR,1.4144037,44.0
A053_2,A053,2,IFR,0.28295353,44.0
A053_3,A053,3,IFR,-0.83496577,44.0
A053_4,A053,4,IFR,-0.19286156,44.0
A054_1,A054,1,IFR,0.06454673,43.0
A054_2,A054,2,IFR,0.59928095,43.0
A054_3,A054,3,IFR,0.76526284,43.0
A054_4,A054,4,IFR,1.2983474,43.0
A055_1,A055,1,IFR,-0.3203487,44.0
A055_2,A055,2,IFR,0.5494155,44.0
A055_3,A055,3,IFR,-0.9620779,44.0
A055_4,A055,4,IFR,-0.9730982,44.0
A056_1,A056,1,IFR,0.8824607,42.0
A056_2,A056,2,IFR,0.3381003,42.0
A056_3,A056,3,IFR,-0.26972502,42.0
A056_4,A056,4,IFR,-1.5637758,42.0
A057_1,A057,1,IFR,0.009936852,40.0
A057_2,A057,2,IFR,-0.7343016,40.0
A057_3,A057,3,IFR,-0.6061695,40.0
A057_4,A057,4,IFR,-1.3534855,40.0
A058_1,A058,1,IFR,1.2909634,42.0
A058_2,A058,2,IFR,-1.1071848,42.0
A058_3,A058,3,IFR,-0.0076611126,42.0
A058_4,A058,4,IFR,-0.8837645,42.0
A059_1,A059,1,IFR,0.98924613,43.0
A059_2,A059,2,IFR,1.1210508,43.0
A059_3,A059,3,IFR,1.5913445,43.0
A059_4,A059,4,IFR,0.5147332,43.0
A060_1,A060,1,IFR,0.089007095,48.0
A060_2,A060,2,IFR,0.9243096,48.0
A060_3,A060,3,IFR,-0.42468035,48.0
A060_4,A060,4,IFR,0.6639469,48.0
A061_1,A061,1,IFR,2.6159682,47.0
A061_2,A061,2,IFR,0.83355284,47.0
A061_3,A061,3,IFR,0.720659,47.0
A061_4,A061,4,IFR,-0.44061255,47.0
A062_1,A062,1,IFR,1.5698215,48.0
A062_2,A062,2,IFR,0.29121718,48.0
A062_3,A062,3,IFR,-0.99807596,48.0
A062_4,A062,4,IFR,-1.3407863,48.0
A063_1,A063,1,IFR,1.0055077,45.0
A063_2,A063,2,IFR,0.5848471,45.0
A063_3,A063,3,IFR,-0.0073365774,45.0
A063_4,A063,4,IFR,-1.0480841,45.0
A064_1,A064,1,IFR,0.9337908,47.0
A064_2,A064,2,IFR,1.0231495,47.0
A064_3,A064,3,IFR,0.12078351,47.0
A064_4,A064,4,IFR,-0.82732314,47.0
A065_1,A065,1,IFR,-1.6313238,47.0
A065_2,A065,2,IFR,0.011327019,47.0
A065_3,A065,3,IFR,-1.3355386,47.0
A065_4,A065,4,IFR,-2.3671904,47.0
A066_1,A066,1,IFR,0.2606496,47.0
A066_2,A066,2,IFR,-0.04822852,47.0
A066_3,A066,3,IFR,-0.73158157,47.0
A066_4,A066,4,IFR,-1.053569,47.0
A067_1,A067,1,IFR,0.53448457,48.0
A067_2,A067,2,IFR,-1.4098325,48.0
A067_3,A067,3,IFR,-1.5651689,48.0
A067_4,A067,4,IFR,-1.2525647,48.0
A068_1,A068,1,IFR,1.1313976,49.0
A068_2,A068,2,IFR,-0.6020199,49.0
A068_3,A068,3,IFR,0.8178577,49.0
A068_4,A068,4,IFR,-0.18029927,49.0
A069_1,A069,1,IFR,-0.9453881,46.0
A069_2,A069,2,IFR,-1.0803355,46.0
A069_3,A069,3,IFR,-0.40901044,46.0
A069_4,A069,4,IFR,-1.3295189,46.0
A070_1,A070,1,IFR,-0.19590467,52.0
A070_2,A070,2,IFR,0.001917907,52.0
A070_3,A070,3,IFR,-0.6862198,52.0
A070_4,A070,4,IFR,-0.76803863,52.0
A071_1,A071,1,IFR,0.8231066,50.0
A071_2,A071,2,IFR,0.7234464,50.0
A071_3,A071,3,IFR,-0.8875053,50.0
A071_4,A071,4,IFR,0.3867004,50.0
A072_1,A072,1,IFR,0.7837958,50.0
A072_2,A072,2,IFR,1.3752688,50.0
A072_3,A072,3,IFR,-0.50578904,50.0
A072_4,A072,4,IFR,0.22475065,50.0
A073_1,A073,1,IFR,1.0453852,51.0
A073_2,A073,2,IFR,-0.18324019,51.0
A073_3,A073,3,IFR,1.1016877,51.0
A073_4,A073,4,IFR,1.1862053,51.0
A074_1,A074,1,IFR,1.1920998,53.0
A074_2,A074,2,IFR,-0.18063918,53.0
A074_3,A074,3,IFR,-0.33134934,53.0
A074_4,A074,4,IFR,-0.77555984,53.0
A075_1,A075,1,IFR,0.6835109,53.0
A075_2,A075,2,IFR,0.15669091,53.0
A075_3,A075,3,IFR,-1.2112106,53.0
A075_4,A075,4,IFR,-0.9596083,53.0
A076_1,A076,1,IFR,-0.23747711,54.0
A076_2,A076,2,IFR,-0.96419734,54.0
A076_3,A076,3,IFR,-1.6650329,54.0
A076_4,A076,4,IFR,-1.514256,54.0
A077_1,A077,1,IFR,0.94863856,52.0
A077_2,A077,2,IFR,-0.2102372,52.0
A077_3,A077,3,IFR,-0.27487096,52.0
A077_4,A077,4,IFR,0.36480424,52.0
A078_1,A078,1,IFR,-0.96974343,50.0
A078_2,A078,2,IFR,0.103746764,50.0
A078_3,A078,3,IFR,-0.52161014,50.0
A078_4,A078,4,IFR,-1.1577317,50.0
A079_1,A079,1,IFR,0.29714143,50.0
A079_2,A079,2,IFR,-0.019604485,50.0
A079_3,A079,3,IFR,-0.63756335,50.0
A079_4,A079,4,IFR,-0.8638559,50.0
A080_1,A080,1,IFR,-0.03166884,56.0
A080_2,A080,2,IFR,0.46226197,56.0
A080_3,A080,3,IFR,0.26095873,56.0
A080_4,A080,4,IFR,-0.27738324,56.0
A081_1,A081,1,IFR,-0.21233271,55.0
A081_2,A081,2,IFR,-0.2756375,55.0
A081_3,A081,3,IFR,1.1896797,55.0
A081_4,A081,4,IFR,0.5770681,55.0
A082_1,A082,1,IFR,0.23409934,58.0
A082_2,A082,2,IFR,1.3762386,58.0
A082_3,A082,3,IFR,0.45864242,58.0
A082_4,A082,4,IFR,-0.5385982,58.0
A083_1,A083,1,IFR,2.0915012,58.0
A083_2,A083,2,IFR,0.5282948,58.0
A083_3,A083,3,IFR,0.067734525,58.0
A083_4,A083,4,IFR,0.35439134,58.0
A084_1,A084,1,IFR,0.4183016,59.0
A084_2,A084,2,IFR,-0.43802726,59.0
A084_3,A084,3,IFR,-0.0573422,59.0
A084_4,A084,4,IFR,-0.6182798,59.0
A085_1,A085,1,IFR,-0.031216,58.0
A085_2,A085,2,IFR,1.1066616,58.0
A085_3,A085,3,IFR,0.061248675,58.0
A085_4,A085,4,IFR,-0.76523185,58.0
A086_1,A086,1,IFR,0.38950622,58.0
A086_2,A086,2,IFR,-0.14577931,58.0
A086_3,A086,3,IFR,-1.0502772,58.0
A086_4,A086,4,IFR,-0.8074584,58.0
A087_1,A087,1,IFR,0.78208005,59.0
A087_2,A087,2,IFR,1.0232055,59.0
A087_3,A087,3,IFR,0.5696994,59.0
A087_4,A087,4,IFR,0.74973524,59.0
A088_1,A088,1,IFR,1.4914855,56.0
A088_2,A088,2,IFR,2.2012293,56.0
A088_3,A088,3,IFR,1.2592479,56.0
A088_4,A088,4,IFR,1.9822054,56.0
A089_1,A089,1,IFR,0.9941269,56.0
A089_2,A089,2,IFR,1.1067888,56.0
A089_3,A089,3,IFR,0.42236474,56.0
A089_4,A089,4,IFR,-0.14824519,56.0
A090_1,A090,1,IFR,0.5147539,61.0
A090_2,A090,2,IFR,-0.14470427,61.0
A090_3,A090,3,IFR,-1.0755081,61.0
A090_4,A090,4,IFR,-0.72259337,61.0
A091_1,A091,1,IFR,0.56830114,63.0
A091_2,A091,2,IFR,-0.024470944,63.0
A091_3,A091,3,IFR,-1.0722411,63.0
A091_4,A091,4,IFR,-0.80329055,63.0
A092_1,A092,1,IFR,-0.20546757,60.0
A092_2,A092,2,IFR,-1.1036576,60.0
A092_3,A092,3,IFR,-0.9559158,60.0
A092_4,A092,4,IFR,-1.0151985,60.0
A093_1,A093,1,IFR,0.5351138,64.0
A093_2,A093,2,IFR,1.1764531,64.0
A093_3,A093,3,IFR,0.49807674,64.0
A093_4,A093,4,IFR,0.36329606,64.0
A094_1,A094,1,IFR,-0.95102084,60.0
A094_2,A094,2,IFR,-0.08161993,60.0
A094_3,A094,3,IFR,-1.1016859,60.0
A094_4,A094,4,IFR,-0.83792824,60.0
A095_1,A095,1,IFR,1.80899,61.0
A095_2,A095,2,IFR,-0.14235677,61.0
A095_3,A095,3,IFR,-0.18422538,61.0
A095_4,A095,4,IFR,-0.21127401,61.0
A096_1,A096,1,IFR,-0.41371152,60.0
A096_2,A096,2,IFR,-0.7807312,60.0
A096_3,A096,3,IFR,-1.6348042,60.0
A096_4,A096,4,IFR,-1.5612783,60.0
A097_1,A097,1,IFR,0.35705918,64.0
A097_2,A097,2,IFR,-0.31381193,64.0
A097_3,A097,3,IFR,0.67599416,64.0
A097_4,A097,4,IFR,-0.4779618,64.0
A098_1,A098,1,IFR,0.4863022,60.0
A098_2,A098,2,IFR,0.35508934,60.0
A098_3,A098,3,IFR,1.2622093,60.0
A098_4,A098,4,IFR,-0.91847074,60.0
A099_1,A099,1,IFR,0.5947077,63.0
A099_2,A099,2,IFR,0.9436256,63.0
A099_3,A099,3,IFR,0.5655428,63.0
A099_4,A099,4,IFR,1.2966081,63.0
A100_1,A100,1,IFR,0.15649687,66.0
A100_2,A100,2,IFR,1.812935,66.0
A100_3,A100,3,IFR,0.31755033,66.0
A100_4,A100,4,IFR,0.07595712,66.0
A101_1,A101,1,IFR,-0.3487501,69.0
A101_2,A101,2,IFR,-1.0621837,69.0
A101_3,A101,3,IFR,-1.3082596,69.0
A101_4,A101,4,IFR,-0.9258172,69.0
A102_1,A102,1,IFR,-0.45942888,68.0
A102_2,A102,2,IFR,1.2470385,68.0
A102_3,A102,3,IFR,-0.7463703,68.0
