composite_ID,UID,test,paradigm,theta,Age,Age_c,TSVR_hours,log_TSVR
A026_3,A026,3,IFR,0.7356694,29.0,-15.57,75.46,4.336767728268267
A026_4,A026,4,IFR,-0.094755605,29.0,-15.57,147.65,5.001594549444107
A027_1,A027,1,IFR,0.16043636,28.0,-16.57,1.0,0.6931471805599453
A027_2,A027,2,IFR,0.46374553,28.0,-16.57,28.26,3.3762213955919784
A027_3,A027,3,IFR,-0.9193564,28.0,-16.57,74.58,4.325191697921343
A027_4,A027,4,IFR,-0.42966694,28.0,-16.57,145.92,4.989888220951467
A028_1,A028,1,IFR,1.7501152,26.0,-18.57,1.0,0.6931471805599453
A028_2,A028,2,IFR,0.095417134,26.0,-18.57,22.82,3.170525563927154
A028_3,A028,3,IFR,0.1234633,26.0,-18.57,72.26,4.294014757350668
A028_4,A028,4,IFR,-0.8479047,26.0,-18.57,138.91,4.940999358745194
A029_1,A029,1,IFR,2.242445,25.0,-19.57,1.0,0.6931471805599453
A029_2,A029,2,IFR,0.29875055,25.0,-19.57,28.43,3.382014562245381
A029_3,A029,3,IFR,1.3977594,25.0,-19.57,93.26,4.546056921495585
A029_4,A029,4,IFR,0.5618795,25.0,-19.57,143.14,4.970785049496295
A030_1,A030,1,IFR,0.12693016,31.0,-13.57,1.0,0.6931471805599453
A030_2,A030,2,IFR,0.890774,31.0,-13.57,32.95,3.5248888540047054
A030_3,A030,3,IFR,0.30001456,31.0,-13.57,71.93,4.289500076996142
A030_4,A030,4,IFR,0.70453537,31.0,-13.57,150.46,5.020321563685677
A031_1,A031,1,IFR,1.83632,32.0,-12.57,1.0,0.6931471805599453
A031_2,A031,2,IFR,-0.20975925,32.0,-12.57,32.41,3.508855256368665
A031_3,A031,3,IFR,-0.34666744,32.0,-12.57,71.56,4.2844138058068815
A031_4,A031,4,IFR,-0.9627389,32.0,-12.57,143.85,4.975698724215359
A032_1,A032,1,IFR,0.71397096,33.0,-11.57,1.0,0.6931471805599453
A032_2,A032,2,IFR,-0.325758,33.0,-11.57,57.18,4.063541653067055
A032_3,A032,3,IFR,0.41406077,33.0,-11.57,80.16,4.396422514957614
A032_4,A032,4,IFR,1.8328576,33.0,-11.57,144.51,4.980244812772187
A033_1,A033,1,IFR,0.10781428,32.0,-12.57,1.0,0.6931471805599453
A033_2,A033,2,IFR,-0.23640966,32.0,-12.57,29.16,3.4065165431397553
A033_3,A033,3,IFR,0.96893936,32.0,-12.57,72.6,4.298645025734831
A033_4,A033,4,IFR,-0.08949685,32.0,-12.57,168.33,5.131849473677249
A034_1,A034,1,IFR,1.6616325,33.0,-11.57,1.0,0.6931471805599453
A034_2,A034,2,IFR,1.3464628,33.0,-11.57,26.08,3.298795448044074
A034_3,A034,3,IFR,0.25853375,33.0,-11.57,74.28,4.3212144952771245
A034_4,A034,4,IFR,-0.10638464,33.0,-11.57,145.38,4.986205980173081
A035_1,A035,1,IFR,-0.65596753,34.0,-10.57,1.0,0.6931471805599453
A035_2,A035,2,IFR,0.8209889,34.0,-10.57,44.76,3.8234103470715426
A035_3,A035,3,IFR,-0.50477034,34.0,-10.57,79.98,4.394202210604015
A035_4,A035,4,IFR,-0.99131393,34.0,-10.57,152.47,5.033505108187003
A036_1,A036,1,IFR,0.8689254,30.0,-14.57,1.0,0.6931471805599453
A036_2,A036,2,IFR,-0.1759345,30.0,-14.57,21.63,3.119276459645446
A036_3,A036,3,IFR,-0.7087776,30.0,-14.57,71.47,4.28317268312119
A036_4,A036,4,IFR,-1.176061,30.0,-14.57,143.85,4.975698724215359
A037_1,A037,1,IFR,1.0822115,31.0,-13.57,1.0,0.6931471805599453
A037_2,A037,2,IFR,0.93259835,31.0,-13.57,23.7,3.2068032436339315
A037_3,A037,3,IFR,0.6126821,31.0,-13.57,72.08,4.291554731509806
A037_4,A037,4,IFR,-0.28599942,31.0,-13.57,143.66,4.974386161421135
A038_1,A038,1,IFR,1.1545284,32.0,-12.57,1.0,0.6931471805599453
A038_2,A038,2,IFR,-0.09438367,32.0,-12.57,71.85,4.288402532641213
A038_3,A038,3,IFR,0.9860895,32.0,-12.57,72.86,4.3021714094244174
A038_4,A038,4,IFR,-0.008316844,32.0,-12.57,152.89,5.0362380614757605
A039_1,A039,1,IFR,2.3421638,31.0,-13.57,1.0,0.6931471805599453
A039_2,A039,2,IFR,0.7976839,31.0,-13.57,28.65,3.3894621254437345
A039_3,A039,3,IFR,0.839274,31.0,-13.57,98.84,4.603568904621118
A039_4,A039,4,IFR,0.6956401,31.0,-13.57,246.24,5.510359524791073
A040_1,A040,1,IFR,-0.5817445,38.0,-6.57,1.0,0.6931471805599453
A040_2,A040,2,IFR,-0.26374146,38.0,-6.57,26.26,3.3054204262683866
A040_3,A040,3,IFR,-1.6241969,38.0,-6.57,71.28,4.280547465724028
A040_4,A040,4,IFR,-0.8882852,38.0,-6.57,143.53,4.97348709846075
A041_1,A041,1,IFR,1.2497655,35.0,-9.57,1.0,0.6931471805599453
A041_2,A041,2,IFR,-1.167476,35.0,-9.57,31.78,3.4898185733156835
A041_3,A041,3,IFR,0.075356334,35.0,-9.57,75.74,4.340423084818807
A041_4,A041,4,IFR,0.66515946,35.0,-9.57,141.84,4.961725122726247
A042_1,A042,1,IFR,-1.02681,38.0,-6.57,1.0,0.6931471805599453
A042_2,A042,2,IFR,-1.0026407,38.0,-6.57,28.93,3.3988613218646075
A042_3,A042,3,IFR,-0.5476192,38.0,-6.57,72.17,4.292785500895938
A042_4,A042,4,IFR,-0.8089415,38.0,-6.57,146.02,4.9905686319459415
