Effect,IRT_LMM_p,GLMM_p,GLMM_beta,GLMM_SE,Significant
Age × ICR (baseline),,0.5511955870233897,0.000291072492460886,0.0004884016401913829,False
Age × IRE (baseline),,0.744351610659669,-0.00015926589397685786,0.000488401640191383,False
