contrast,difference,SE,z,p_uncorrected,p_bonferroni,significant_bonferroni
IFR vs ICR,0.0017023669549317,0.0062398578684554,0.2728214313242202,0.7849904844748083,1.0,False
IFR vs IRE,-0.001911152499798,0.0062398578684554,-0.30628141539241216,0.7593903880936346,1.0,False
ICR vs IRE,-0.0036135194547297,0.008824491624850099,-0.40948754991776454,0.6821819016077919,1.0,False
