TSVR_hours,theta,UID,data_type,prediction_se,theta_lower,theta_upper
1.0,2.7277744,A010,observed,,,
21.9,0.4830945,A010,observed,,,
80.88,-0.063471645,A010,observed,,,
145.31,0.7356485,A010,observed,,,
1.0,0.99576205,A011,observed,,,
24.57,0.40040046,A011,observed,,,
72.55,-0.62277347,A011,observed,,,
148.85,-0.48618072,A011,observed,,,
1.0,1.5109797,A012,observed,,,
25.6,-0.3742091,A012,observed,,,
166.33,0.8594104,A012,observed,,,
166.87,-0.57650775,A012,observed,,,
1.0,0.2579466,A013,observed,,,
24.77,-0.576954,A013,observed,,,
79.66,0.15941933,A013,observed,,,
147.13,-0.50066453,A013,observed,,,
1.0,0.9670465,A014,observed,,,
25.66,1.7351536,A014,observed,,,
70.56,0.37096328,A014,observed,,,
148.87,-0.60555935,A014,observed,,,
1.0,1.7906865,A015,observed,,,
23.69,1.9530646,A015,observed,,,
70.59,1.7458305,A015,observed,,,
146.54,0.74841046,A015,observed,,,
1.0,1.3865802,A016,observed,,,
32.85,0.23833106,A016,observed,,,
80.64,-0.063229874,A016,observed,,,
150.8,-1.1086501,A016,observed,,,
1.0,-0.12061626,A017,observed,,,
20.61,1.2353034,A017,observed,,,
61.28,0.18662216,A017,observed,,,
140.49,0.04002261,A017,observed,,,
1.0,0.34396127,A018,observed,,,
34.03,-0.10368377,A018,observed,,,
83.64,-0.6740158,A018,observed,,,
150.87,0.015628511,A018,observed,,,
1.0,-0.44238952,A019,observed,,,
28.69,-1.233944,A019,observed,,,
83.68,-1.1916012,A019,observed,,,
154.76,-1.652823,A019,observed,,,
1.0,-0.036810145,A020,observed,,,
26.85,-0.4131784,A020,observed,,,
78.25,-0.9177355,A020,observed,,,
145.78,-2.2843106,A020,observed,,,
1.0,1.366235,A021,observed,,,
30.21,0.648662,A021,observed,,,
74.19,0.3772473,A021,observed,,,
140.39,0.77024406,A021,observed,,,
1.0,0.1020859,A022,observed,,,
24.15,0.4643598,A022,observed,,,
74.46,-0.11233316,A022,observed,,,
141.71,0.0056279004,A022,observed,,,
1.0,0.8812526,A023,observed,,,
25.63,-0.48242265,A023,observed,,,
72.2,0.13040453,A023,observed,,,
145.07,0.004668119,A023,observed,,,
1.0,0.33348504,A024,observed,,,
29.57,0.10314593,A024,observed,,,
91.47,0.1529355,A024,observed,,,
145.65,-0.7700928,A024,observed,,,
1.0,0.99917114,A025,observed,,,
23.33,1.6789465,A025,observed,,,
72.94,-0.15189764,A025,observed,,,
137.74,-1.1388493,A025,observed,,,
1.0,1.0569059,A026,observed,,,
26.48,0.062489662,A026,observed,,,
75.46,0.7757372,A026,observed,,,
147.65,-0.26765063,A026,observed,,,
1.0,0.9770042,A027,observed,,,
28.26,0.3337341,A027,observed,,,
74.58,-0.7031997,A027,observed,,,
145.92,-0.8390413,A027,observed,,,
1.0,1.5710772,A028,observed,,,
22.82,-0.19436406,A028,observed,,,
72.26,-0.0985842,A028,observed,,,
138.91,-0.7637951,A028,observed,,,
1.0,1.7016916,A029,observed,,,
28.43,0.3401657,A029,observed,,,
93.26,1.2822845,A029,observed,,,
143.14,0.7683035,A029,observed,,,
1.0,0.33380765,A030,observed,,,
32.95,1.2043047,A030,observed,,,
71.93,-0.12868379,A030,observed,,,
150.46,0.33196774,A030,observed,,,
1.0,2.2557483,A031,observed,,,
32.41,0.018638758,A031,observed,,,
71.56,-0.04251805,A031,observed,,,
143.85,-0.57443035,A031,observed,,,
1.0,0.8067235,A032,observed,,,
57.18,-0.12246857,A032,observed,,,
80.16,0.6580906,A032,observed,,,
144.51,1.5530372,A032,observed,,,
1.0,0.43369794,A033,observed,,,
29.16,0.5100616,A033,observed,,,
72.6,0.9657034,A033,observed,,,
168.33,-0.40873924,A033,observed,,,
1.0,2.0359054,A034,observed,,,
26.08,0.65717703,A034,observed,,,
74.28,-0.10081277,A034,observed,,,
145.38,-0.1552254,A034,observed,,,
1.0,-0.06479133,A035,observed,,,
