Days,observed_theta,CI_lower_theta,CI_upper_theta,pred_Log,best_model
0.0,,,,0.6343696425971248,Log
0.0416666666666666,0.6606513171499999,0.48798387369657914,0.8333187606034207,,Log
0.14285714285714285,,,,0.555416844600093,Log
0.2857142857142857,,,,0.485775541241531,Log
0.42857142857142855,,,,0.42347927258067525,Log
0.5714285714285714,,,,0.36712544277893544,Log
0.7142857142857142,,,,0.31567842694331844,Log
0.8571428571428571,,,,0.2683517601133371,Log
1.0,,,,0.22453411064213757,Log
1.1428571428571428,,,,0.18374085492390063,Log
1.1987375,0.10534006147,-0.060492117869693024,0.27117224080969304,,Log
1.2857142857142856,,,,0.14558131264510576,Log
1.4285714285714284,,,,0.10973593257497838,Log
1.5714285714285714,,,,0.07594000928654376,Log
1.7142857142857142,,,,0.04397180828667657,Log
1.857142857142857,,,,0.013643740625688072,Log
2.0,,,,-0.015204307014637153,Log
2.142857142857143,,,,-0.04271008917605179,Log
2.2857142857142856,,,,-0.0689929801269138,Log
2.4285714285714284,,,,-0.09415710501166885,Log
2.571428571428571,,,,-0.11829383139372973,Log
2.714285714285714,,,,-0.14148377184165006,Log
2.8571428571428568,,,,-0.16379840837023085,Log
3.0,,,,-0.18530142131284966,Log
3.142857142857143,,,,-0.20604978490027204,Log
3.2778375,-0.24143969939999999,-0.40032158512337146,-0.08255781367662854,,Log
3.2857142857142856,,,,-0.22609467703108665,Log
3.4285714285714284,,,,-0.2454822398117854,Log
3.571428571428571,,,,-0.26425421930988136,Log
3.714285714285714,,,,-0.2824485068328264,Log
3.8571428571428568,,,,-0.30009959938000896,Log
4.0,,,,-0.31723899333226735,Log
4.142857142857142,,,,-0.3338955226684436,Log
4.285714285714286,,,,-0.3500956508321845,Log
4.428571428571428,,,,-0.36586372366831066,Log
4.571428571428571,,,,-0.3812221894984247,Log
4.714285714285714,,,,-0.39619179132929916,Log
4.857142857142857,,,,-0.41079173532410596,Log
5.0,,,,-0.4250398389696244,Log
5.142857142857142,,,,-0.43895266180687775,Log
5.285714285714286,,,,-0.452545621131039,Log
5.428571428571428,,,,-0.46583309468786127,Log
5.571428571428571,,,,-0.4788285120819009,Log
5.7142857142857135,,,,-0.49154443635349154,Log
5.857142857142857,,,,-0.5039926369666561,Log
6.0,,,,-0.5161841552708051,Log
6.142857142857142,,,,-0.528129363348717,Log
6.285714285714286,,,,-0.5398380170367836,Log
6.307300000000001,-0.49983265062599996,-0.6613775016678825,-0.3382877995841175,,Log
6.428571428571428,,,,-0.5513193037966373,Log
6.571428571428571,,,,-0.5625818860267064,Log
6.7142857142857135,,,,-0.5736339403252182,Log
6.857142857142857,,,,-0.5844831931504568,Log
7.0,,,,-0.5951369532678368,Log
