UID,Intercept_z,Slope_z
A010,1.3304843317976607,1.4912579898419345
A011,0.035988731598982374,0.6934004688732754
A012,0.632062135477485,-0.16393985230174968
A013,-0.22042406918573149,-0.9575822493336159
A014,0.8479529079662285,0.6600003756275061
A015,2.27728595575117,-0.1275376878931593
A016,0.11302479141557323,1.4611024752011452
A017,0.47741739008897255,-1.2530570370551541
A018,-0.09760082905304696,-0.701297124274654
A019,-1.660833755144961,-0.22169624967683302
A020,-1.42185272600038,0.9571999693293719
A021,1.1773104190078623,-0.3804495195865926
A022,0.18738088673018904,-1.138560689503492
A023,0.18997991595722027,-0.5120439044101988
A024,-0.030432308068165912,-0.4565765703883488
A025,0.38670349856954733,1.4907179119810796
A026,0.5929390460769244,-0.2147483213569094
A027,-0.15495816284132335,1.0198838246305573
A028,0.07402396069111367,1.2473049722299205
A029,1.560823170775955,-0.619524730544606
A030,0.6986856403074904,-1.086943103833107
A031,0.502780221330043,2.1178255414489997
A032,1.237100522211317,-1.8178525893857957
A033,0.6003997275534657,-0.8595514102918539
A034,0.798923908746685,1.550458057436108
A035,-0.22278913633947617,-0.503122599638346
A036,-0.20970434255520745,1.3174326649583084
A037,0.8821307510669463,0.4478056824979949
A038,0.8429872654773385,-0.005581323929619311
A039,1.839300747828887,0.48872288776085376
A040,-1.4075951945058003,0.24355522211509723
A041,0.17172914716310744,-0.2729131613202109
A042,-1.1702074851119604,-1.5470717402114467
A043,0.6168661080265849,0.1534413491447863
A044,-1.2663812592531187,0.5469989736419129
A045,-1.5654100124378423,-1.2000241905869335
A046,-1.7897882693093488,-0.9559056671060364
A047,-1.5391119975055385,-0.45276893870900536
A048,0.45608457508424294,-0.3046744822592374
A049,0.7544204853116736,0.7190209499838555
A050,-1.1458922739785582,-0.7083563251758999
A051,-0.2128840585511498,1.2449223648777838
A052,0.10466933087383383,0.0633446257595889
A053,0.6463650375504386,0.8847630051423071
A054,1.5425298568094805,-2.1803162326310237
A055,0.1232169368740611,-0.18956760993323635
A056,-0.1275719984207194,0.39148696472093064
A057,-0.811556880264709,0.3113209857195822
A058,-0.4690788992515773,0.6713272257463798
A059,1.5214315149158615,-0.946691573848704
A060,0.3976753091657141,-1.0526769656879704
A061,1.2030707882695229,2.1902404259761044
A062,0.13355240742632685,1.571150963254929
A063,0.35728179919716974,0.3482719324871305
A064,0.5043952428041105,-0.09558185075840613
A065,-2.7609492839281518,-1.374378446009739
A066,-0.8743263347311352,0.6462784740466135
A067,-1.2884451046191652,0.9645868358478354
A068,0.5499726829120215,0.41101782029208767
A069,-1.7311111855519203,-0.9858896813068366
A070,-0.35786942809064476,0.4927830619032725
A071,0.28270768464073615,0.3556952867283005
A072,0.12115425110818887,0.4396114887115458
A073,0.608201868386317,-0.8137662206136272
A074,-0.4672557055904253,1.478937483904433
A075,-0.40427626151378543,0.36126186706203833
A076,-1.8710868667229037,0.7797425433678602
A077,0.8076734374864045,-0.2596592990229888
A078,-0.7861308357113059,0.15502788201548515
A079,-0.6598731825566423,0.3171310707059298
A080,0.07650692629423253,-0.3098746335091394
A081,0.6176594512979489,-1.412949476805257
A082,0.7675341242842083,-0.7295396474316275
A083,1.0217380918248828,1.1854111568787165
A084,0.06125611377089777,-1.1822380719505294
A085,0.4852904693334217,-0.043275997056246546
A086,-0.6239012220019956,1.2125672081972023
A087,0.8433109343093804,0.14647587368495668
A088,2.2541558622467655,0.5441564974316272
A089,1.279749186809292,0.24770771299311872
A090,-1.1534588124830911,0.5517400180885625
A091,-0.6340911345255209,0.5712729881788453
A092,-1.101479922848788,-0.543899439876084
A093,0.7379679506434172,-1.501364351123922
A094,-1.4053672679826799,-0.4672564391378839
A095,-0.09489557639216736,1.4947455647010766
A096,-2.0125835637686724,-0.0053681360095260075
A097,0.2584587754422683,-1.764713873874936
A098,0.5342698026210033,-0.576235776812566
A099,1.1226780060345756,-0.3702868706551245
A100,0.46263645097149403,-1.591223145640147
A101,-1.5910495561276898,-1.1658329743513505
A102,0.036378868175682866,-0.6044509854956353
A103,-0.8471673300968318,2.3737435459298655
A104,-0.07856200689957711,2.3531016307193484
A105,0.4087444873441221,-0.7082415140456613
A106,0.9909815896368612,-1.0469213896035452
A107,-1.6931364445513293,-1.1209800823938312
A108,-1.119066440444767,-1.0998679162979743
A109,-1.0678443565555,-0.7611257511198378
