K,inertia,BIC
1,199.99999999999997,73.9198882419826
2,129.4186461118298,34.99856861086508
3,73.96302267816795,-16.344980563097167
4,57.02668605618763,-37.7444043850061
5,43.30726405306411,-60.65912947098107
6,35.41319410924632,-76.17755091795792
7,30.428680807900566,-86.74226616954337
8,26.99234822054615,-94.12031445088995
9,23.62269786092932,-102.84968456574617
10,21.201332333093156,-109.05891417854156
