UID,cluster
A010,2
A011,2
A012,1
A013,1
A014,2
A015,1
A016,2
A017,1
A018,1
A019,0
A020,0
A021,1
A022,1
A023,1
A024,1
A025,2
A026,1
A027,2
A028,2
A029,1
A030,1
A031,2
A032,1
A033,1
A034,2
A035,1
A036,2
A037,2
A038,1
A039,1
A040,0
A041,1
A042,0
A043,1
A044,0
A045,0
A046,0
A047,0
A048,1
A049,2
A050,0
A051,2
A052,1
A053,2
A054,1
A055,1
A056,2
A057,0
A058,2
A059,1
A060,1
A061,2
A062,2
A063,2
A064,1
A065,0
A066,0
A067,0
A068,2
A069,0
A070,2
A071,2
A072,2
A073,1
A074,2
A075,2
A076,0
A077,1
A078,0
A079,0
A080,1
A081,1
A082,1
A083,2
A084,1
A085,1
A086,2
A087,1
A088,1
A089,1
A090,0
A091,2
A092,0
A093,1
A094,0
A095,2
A096,0
A097,1
A098,1
A099,1
A100,1
A101,0
A102,1
A103,2
A104,2
A105,1
A106,1
A107,0
A108,0
A109,0
