parameter,estimate,se,t_value,p_value
Intercept,0.6694675006604479,0.08484596303060148,7.890387199907089,3.012503973201487e-15
log_Days_plus1_lambda_0_41,-1.4657825772291364,0.08759382666537785,-16.733857088224443,7.42690435366029e-63
Group Var,10.588477011600974,1.4938064186573592,7.088252453164547,1.3581605176554056e-12
Group x log_Days_plus1_lambda_0_41 Cov,-3.7504087571072797,1.1540247107920933,-3.2498513437663687,0.0011546534918145377
log_Days_plus1_lambda_0_41 Var,11.266148502903773,1.598300655332261,7.048829308376729,1.8042931556750388e-12
