domain,alpha_full,CI_lower_full,CI_upper_full,n_items_full,alpha_purified,CI_lower_purified,CI_upper_purified,n_items_purified,delta_alpha
what,0.7116170771481899,0.6570439706524738,0.7483671939810133,29,0.7017922565160718,0.6491061376148557,0.7435491451251005,19,-0.009824820632118092
where,0.8213610385100276,0.7967282856994382,0.840651667774967,50,0.8285912662028387,0.8039752053610237,0.847815367045902,45,0.00723022769281112
