composite_ID,UID,TSVR_hours,domain,z_full_ctt,z_purified_ctt,z_irt_theta
A010_1,A010,1.0,what,1.526258341613164,1.4044200788946077,2.2029016175347107
A010_1,A010,1.0,where,2.2415988212930644,2.2213966443701048,2.583175777534057
A010_2,A010,21.9,what,0.7120729626685999,0.44658882304150743,0.6002260301173312
A010_2,A010,21.9,where,0.6795090503571315,0.5467204943439156,0.5952411734699062
A010_3,A010,80.88,what,0.4406778363537457,0.12731173775714041,-0.2659500369492459
A010_3,A010,80.88,where,-0.7263717434852087,-0.6786522983581739,-0.13737938297398564
A010_4,A010,145.31,what,1.25486321529831,1.0851429936102408,0.8600732693411057
A010_4,A010,145.31,where,-0.02343134656403902,0.26080017604676153,0.4657797893561326
A011_1,A011,1.0,what,1.526258341613164,1.4044200788946077,1.3165932046887452
A011_1,A011,1.0,where,1.0309792488177159,1.0368696114247513,1.01864455015001
A011_2,A011,24.57,what,0.4406778363537457,0.7658659083258738,0.6613165786622754
A011_2,A011,24.57,where,0.48424782899013974,0.30164593580349774,0.17987749438225734
A011_3,A011,72.55,what,0.4406778363537457,0.7658659083258738,-0.3511374040730814
A011_3,A011,72.55,where,-0.9606852091255988,-0.9645726166553287,-0.8403701668048004
A011_4,A011,148.85,what,-0.6449026689056717,-0.511242432811593,-0.7154812101781135
A011_4,A011,148.85,where,-0.45300603357142016,-0.18850318127733806,-0.319731190015404
A012_1,A012,1.0,what,1.25486321529831,1.0851429936102408,1.4747489033439505
A012_1,A012,1.0,where,1.4215016915516996,1.4453272089921148,1.4934464563492467
A012_2,A012,25.6,what,0.16928271003889156,-0.1919653475272259,-0.17612805547419902
A012_2,A012,25.6,where,-0.5701627663916152,-0.6378065386014377,-0.37772834037024017
A012_3,A012,166.33,what,0.9834680889834548,0.7658659083258738,0.6451645414057998
A012_3,A012,166.33,where,0.9138225159975208,0.8326408126410697,1.1030547055541196
A012_4,A012,166.87,what,-0.6449026689056717,-0.511242432811593,-0.6404500391938196
A012_4,A012,166.87,where,-0.5311105221182169,-0.43357773981775594,-0.5249375433973149
A013_1,A013,1.0,what,-0.3735075425908176,-0.1919653475272259,0.10285588874441258
A013_1,A013,1.0,where,0.6014045618103349,0.46502897483044325,0.05927554897127518
A013_2,A013,24.77,what,0.16928271003889156,0.12731173775714041,-0.3281226561659122
A013_2,A013,24.77,where,-0.10153583511083575,-0.5561150190879653,-0.7569284305197161
A013_3,A013,79.66,what,-0.10211241627596344,0.12731173775714041,0.44204232126126486
A013_3,A013,79.66,where,0.44519558471674137,0.5875662541006518,0.22482525478735457
