composite_ID,theta_what,theta_where
A010_1,1.9723079,2.4439983
A010_2,0.5321417,0.59148264
A010_3,-0.24620515,-0.091231495
A010_4,0.76564074,0.47084022
A011_1,1.1758701,0.9860436
A011_2,0.58703774,0.20441371
A011_3,-0.32275462,-0.74633425
A011_4,-0.6501544,-0.26116142
A012_1,1.317989,1.4285018
A012_2,-0.16549101,-0.31520778
A012_3,0.5725235,1.0647037
A012_4,-0.5827313,-0.45238903
A013_1,0.085204296,0.09202722
A013_2,-0.30207354,-0.6685766
A013_3,0.38999763,0.24629961
A013_4,-0.5718052,-0.42889243
A014_1,0.990247,0.840902
A014_2,2.0772517,1.7318953
A014_3,0.39994225,0.22653097
A014_4,-0.48348227,-0.64632875
A015_1,1.7676418,1.7240337
A015_2,1.9235327,1.980908
A015_3,1.7069992,1.7067914
A015_4,0.48828286,0.8411193
A016_1,1.0766052,1.42478
A016_2,-0.39004326,0.5182861
A016_3,0.09681583,0.08904186
A016_4,-1.1568888,-1.0289922
A017_1,-0.40713716,0.014488589
A017_2,1.0619187,0.9758614
A017_3,0.66992927,0.13619477
A017_4,0.20140322,-0.036762077
A018_1,0.32558995,0.33654568
A018_2,-0.36246425,0.034030903
A018_3,-0.91410375,-0.6435525
A018_4,0.16954863,-0.09666681
A019_1,-0.015733648,-0.6979575
A019_2,-1.1935377,-1.2111
A019_3,-0.94285613,-1.4745452
A019_4,-1.264995,-1.8336661
A020_1,-0.01839159,-0.079359196
A020_2,-0.5171829,-0.15119976
A020_3,-0.46821594,-0.95550704
A020_4,-2.2787354,-2.1095285
A021_1,1.0875474,1.2243092
A021_2,0.8355286,0.61569417
A021_3,0.29306138,0.43332618
A021_4,0.7857295,0.7931139
A022_1,-0.07678151,-0.02021975
A022_2,0.13877183,0.49875164
A022_3,-0.30076003,0.051550657
A022_4,0.26840943,0.03178843
A023_1,0.59516215,0.8410934
A023_2,-0.49034083,-0.37005034
A023_3,0.32838494,0.038829546
A023_4,-0.06907465,-0.029049361
A024_1,0.079528205,0.4682902
A024_2,-0.0904471,0.12924328
A024_3,0.3260986,0.1628256
A024_4,-0.4476697,-0.8004861
A025_1,0.9811938,1.0470951
A025_2,1.7059261,1.87031
A025_3,-0.524388,0.022343142
A025_4,-1.4041344,-0.8030515
A026_1,0.85312533,1.0557629
A026_2,0.00019577265,0.11092596
A026_3,0.3868858,0.8867782
A026_4,-0.0556293,-0.30421466
A027_1,0.8339228,0.8734448
A027_2,0.33739686,0.3406542
A027_3,-0.7617411,-0.48679298
A027_4,-0.9249458,-0.80049735
A028_1,1.3888893,1.5852748
A028_2,0.3311532,-0.25359893
A028_3,-0.43044564,-0.15333362
A028_4,-0.40401626,-0.9400507
A029_1,1.4967275,1.8794568
A029_2,-0.0183022,0.4782135
A029_3,1.1595125,1.4485718
A029_4,1.0474995,0.75251937
A030_1,0.2812619,0.21859212
A030_2,0.8832621,1.2273304
A030_3,-0.18143387,-0.03165805
A030_4,-0.0007534161,0.53584546
A031_1,2.098076,2.1835008
A031_2,-0.3397794,0.23107058
A031_3,0.16093041,-0.090858296
A031_4,-0.412024,-0.6049658
A032_1,0.9237079,0.7973815
A032_2,-0.077504,-0.19438347
A032_3,0.7994235,0.46258765
A032_4,1.3869435,1.7630539
A033_1,0.35103184,0.22796804
A033_2,0.24968037,0.45576963
A033_3,0.9273771,0.8525857
A033_4,-0.04748927,-0.5992665
A034_1,1.638878,1.6937131
A034_2,0.35502133,0.952347
A034_3,0.20019667,-0.020196838
A034_4,-0.25343332,-0.0680759
