Term,Coef,Std_Err,z,P_value,CI_lower,CI_upper
Intercept,0.151,0.092,1.637,0.102,-0.03,0.331
C(Domain)[T.where],0.033,0.101,0.327,0.743,-0.164,0.23
Days,-0.045,0.027,-1.681,0.093,-0.098,0.008
Days:C(Domain)[T.where],-0.009,0.036,-0.246,0.806,-0.08,0.062
np.log(Days + 1 / 24),-0.154,0.038,-4.04,0.0,-0.229,-0.079
np.log(Days + 1 / 24):C(Domain)[T.where],-0.048,0.053,-0.895,0.371,-0.153,0.057
Group Var,0.327,0.106,,,,
Group x Days Cov,0.009,0.012,,,,
Days Var,0.005,0.003,,,,
