composite_ID,UID,TEST,CTT_purified_what,CTT_purified_where
A010_1,A010,1,0.9473684210526315,0.9166666666666666
A010_2,A010,2,0.7894736842105263,0.6888888888888889
A010_3,A010,3,0.7368421052631579,0.5222222222222223
A010_4,A010,4,0.8947368421052632,0.65
A011_1,A011,1,0.9473684210526315,0.7555555555555555
A011_2,A011,2,0.8421052631578947,0.6555555555555556
A011_3,A011,3,0.8421052631578947,0.48333333333333334
A011_4,A011,4,0.631578947368421,0.5888888888888889
A012_1,A012,1,0.8947368421052632,0.8111111111111111
A012_2,A012,2,0.6842105263157895,0.5277777777777778
A012_3,A012,3,0.8421052631578947,0.7277777777777777
A012_4,A012,4,0.631578947368421,0.5555555555555556
A013_1,A013,1,0.6842105263157895,0.6777777777777778
A013_2,A013,2,0.7368421052631579,0.5388888888888889
A013_3,A013,3,0.7368421052631579,0.6944444444444444
A013_4,A013,4,0.7368421052631579,0.5555555555555556
A014_1,A014,1,0.8421052631578947,0.7277777777777777
A014_2,A014,2,0.9473684210526315,0.8222222222222222
A014_3,A014,3,0.8947368421052632,0.6
A014_4,A014,4,0.7368421052631579,0.5888888888888889
A015_1,A015,1,0.9473684210526315,0.85
A015_2,A015,2,0.9473684210526315,0.8833333333333333
A015_3,A015,3,1.0,0.7555555555555555
A015_4,A015,4,0.8421052631578947,0.75
A016_1,A016,1,0.8947368421052632,0.7388888888888889
A016_2,A016,2,0.631578947368421,0.7111111111111111
A016_3,A016,3,0.7368421052631579,0.6111111111111112
A016_4,A016,4,0.5263157894736842,0.5333333333333333
A017_1,A017,1,0.6578947368421053,0.6333333333333333
A017_2,A017,2,0.8421052631578947,0.7555555555555555
A017_3,A017,3,0.8421052631578947,0.6388888888888888
A017_4,A017,4,0.7894736842105263,0.6
A018_1,A018,1,0.8421052631578947,0.6833333333333333
A018_2,A018,2,0.5789473684210527,0.6611111111111111
A018_3,A018,3,0.5263157894736842,0.5166666666666667
A018_4,A018,4,0.6842105263157895,0.6277777777777778
A019_1,A019,1,0.8947368421052632,0.55
A019_2,A019,2,0.5263157894736842,0.4388888888888889
A019_3,A019,3,0.6842105263157895,0.4166666666666667
A019_4,A019,4,0.5789473684210527,0.31666666666666665
A020_1,A020,1,0.7368421052631579,0.5777777777777777
A020_2,A020,2,0.5789473684210527,0.5777777777777777
A020_3,A020,3,0.631578947368421,0.42777777777777776
A020_4,A020,4,0.2631578947368421,0.32222222222222224
A021_1,A021,1,0.8947368421052632,0.8111111111111111
A021_2,A021,2,0.8947368421052632,0.6833333333333333
A021_3,A021,3,0.8421052631578947,0.6666666666666666
A021_4,A021,4,0.8947368421052632,0.6666666666666666
A022_1,A022,1,0.7894736842105263,0.7
A022_2,A022,2,0.7368421052631579,0.6833333333333333
A022_3,A022,3,0.6842105263157895,0.6055555555555555
A022_4,A022,4,0.7368421052631579,0.6
A023_1,A023,1,0.7368421052631579,0.7944444444444444
A023_2,A023,2,0.5789473684210527,0.5777777777777777
A023_3,A023,3,0.7894736842105263,0.5888888888888889
A023_4,A023,4,0.7368421052631579,0.6333333333333333
A024_1,A024,1,0.6842105263157895,0.6833333333333333
A024_2,A024,2,0.7368421052631579,0.6277777777777778
A024_3,A024,3,0.8421052631578947,0.5888888888888889
A024_4,A024,4,0.6842105263157895,0.4166666666666667
A025_1,A025,1,0.8421052631578947,0.75
A025_2,A025,2,0.9473684210526315,0.8555555555555555
A025_3,A025,3,0.5263157894736842,0.6888888888888889
A025_4,A025,4,0.21052631578947367,0.5833333333333334
A026_1,A026,1,0.7894736842105263,0.7944444444444444
A026_2,A026,2,0.6842105263157895,0.6166666666666667
A026_3,A026,3,0.7894736842105263,0.7833333333333333
A026_4,A026,4,0.7368421052631579,0.6
A027_1,A027,1,0.7368421052631579,0.8111111111111111
A027_2,A027,2,0.7894736842105263,0.6611111111111111
A027_3,A027,3,0.5263157894736842,0.55
A027_4,A027,4,0.5263157894736842,0.5388888888888889
A028_1,A028,1,0.9473684210526315,0.7722222222222223
A028_2,A028,2,0.8421052631578947,0.5944444444444444
A028_3,A028,3,0.5263157894736842,0.6333333333333333
A028_4,A028,4,0.7894736842105263,0.4222222222222222
A029_1,A029,1,0.8421052631578947,0.9
A029_2,A029,2,0.6842105263157895,0.6944444444444444
A029_3,A029,3,0.8947368421052632,0.7888888888888889
A029_4,A029,4,0.9473684210526315,0.75
A030_1,A030,1,0.631578947368421,0.6777777777777778
A030_2,A030,2,0.8947368421052632,0.7333333333333333
A030_3,A030,3,0.5789473684210527,0.6777777777777778
A030_4,A030,4,0.631578947368421,0.75
A031_1,A031,1,1.0,0.9
A031_2,A031,2,0.6842105263157895,0.6388888888888888
A031_3,A031,3,0.7368421052631579,0.5944444444444444
A031_4,A031,4,0.6842105263157895,0.48333333333333334
A032_1,A032,1,0.8157894736842105,0.7111111111111111
A032_2,A032,2,0.7894736842105263,0.5611111111111111
A032_3,A032,3,0.8421052631578947,0.65
A032_4,A032,4,0.9473684210526315,0.8111111111111111
A033_1,A033,1,0.8421052631578947,0.7
A033_2,A033,2,0.7368421052631579,0.6888888888888889
A033_3,A033,3,0.9473684210526315,0.6444444444444445
A033_4,A033,4,0.7894736842105263,0.5333333333333333
A034_1,A034,1,0.8421052631578947,0.8555555555555555
A034_2,A034,2,0.7368421052631579,0.7222222222222222
A034_3,A034,3,0.7894736842105263,0.5555555555555556
A034_4,A034,4,0.6842105263157895,0.5944444444444444
A035_1,A035,1,0.7368421052631579,0.5333333333333333
A035_2,A035,2,0.8421052631578947,0.7222222222222222
A035_3,A035,3,0.7368421052631579,0.5222222222222223
A035_4,A035,4,0.5789473684210527,0.4666666666666667
A036_1,A036,1,0.8947368421052632,0.8222222222222222
A036_2,A036,2,0.6842105263157895,0.5777777777777777
A036_3,A036,3,0.7105263157894737,0.5722222222222222
A036_4,A036,4,0.7368421052631579,0.4166666666666667
A037_1,A037,1,0.8947368421052632,0.7944444444444444
A037_2,A037,2,0.9473684210526315,0.7777777777777778
A037_3,A037,3,0.8421052631578947,0.6555555555555556
A037_4,A037,4,0.7368421052631579,0.6333333333333333
A038_1,A038,1,0.9473684210526315,0.7388888888888889
A038_2,A038,2,0.7894736842105263,0.65
A038_3,A038,3,0.7894736842105263,0.7555555555555555
A038_4,A038,4,0.7368421052631579,0.5833333333333334
A039_1,A039,1,1.0,0.85
A039_2,A039,2,0.8947368421052632,0.8444444444444444
A039_3,A039,3,0.6842105263157895,0.6833333333333333
A039_4,A039,4,0.7368421052631579,0.7777777777777778
A040_1,A040,1,0.631578947368421,0.5833333333333334
