Term,Coef,Std_Err,z,P_value,CI_lower,CI_upper
Intercept,0.141,0.094,1.493,0.136,-0.044,0.325
C(Domain)[T.where],0.06,0.086,0.699,0.484,-0.109,0.229
Days,-0.037,0.024,-1.537,0.124,-0.085,0.01
Days:C(Domain)[T.where],-0.024,0.031,-0.785,0.433,-0.086,0.037
np.log(Days + 1 / 24),-0.22,0.033,-6.72,0.0,-0.284,-0.156
np.log(Days + 1 / 24):C(Domain)[T.where],0.032,0.046,0.709,0.478,-0.057,0.122
Group Var,0.504,0.166,,,,
Group x Days Cov,-0.02,0.019,,,,
Days Var,0.009,0.005,,,,
