measurement,AIC,BIC,logLik,delta_AIC,interpretation
Full CTT,1780.056230823452,1826.9023481001313,-880.028115411726,124.99837885323723,Substantial support for lower AIC (|delta_AIC| >= 7)
Purified CTT,1812.262889251052,1859.1090065277313,-896.131444625526,157.20503728083713,Substantial support for lower AIC (|delta_AIC| >= 7)
IRT theta,1655.0578519702149,1701.9039692468941,-817.5289259851074,0.0,Equivalent fit (|delta_AIC| < 2)
