item_name,domain,retained
TQ_RFR-N-OBJ1,what,False
TQ_RFR-N-OBJ2,what,False
TQ_RFR-N-OBJ3,what,True
TQ_RFR-N-OBJ4,what,True
TQ_RFR-N-STRA,what,True
TQ_RFR-N-PORT,what,True
TQ_RFR-N-LAND,what,True
TQ_IFR-N-i1,what,True
TQ_IFR-N-i2,what,True
TQ_IFR-N-i3,what,True
TQ_IFR-N-i4,what,True
TQ_IFR-N-i5,what,True
TQ_IFR-N-i6,what,True
TQ_RFR-N-WEAT,what,False
TQ_RFR-L-OBJ1,where,True
TQ_RFR-L-OBJ2,where,True
TQ_RFR-L-OBJ3,where,True
TQ_RFR-L-OBJ4,where,True
TQ_RFR-L-DOOR,where,True
TQ_RFR-L-WIND,where,True
TQ_RFR-L-PORT,where,True
TQ_RFR-L-LAND,where,True
TQ_RFR-L-STRA,where,True
TQ_IFR-U-i1,where,True
TQ_IFR-U-i2,where,True
TQ_IFR-U-i3,where,True
TQ_IFR-U-i4,where,True
TQ_IFR-U-i5,where,True
TQ_IFR-U-i6,where,True
TQ_IFR-D-i1,where,False
TQ_IFR-D-i2,where,True
TQ_IFR-D-i3,where,True
TQ_IFR-D-i4,where,False
TQ_IFR-D-i5,where,False
TQ_IFR-D-i6,where,False
TQ_ICR-N-i1,what,True
TQ_ICR-N-i2,what,True
TQ_ICR-N-i3,what,False
TQ_ICR-N-i4,what,True
TQ_ICR-N-i5,what,True
TQ_ICR-N-i6,what,True
TQ_ICR-U-i1,where,True
TQ_ICR-U-i2,where,True
TQ_ICR-U-i3,where,True
TQ_ICR-U-i4,where,True
TQ_ICR-U-i5,where,True
TQ_ICR-U-i6,where,True
TQ_ICR-D-i1,where,True
TQ_ICR-D-i2,where,True
TQ_ICR-D-i3,where,True
TQ_ICR-D-i4,where,True
TQ_ICR-D-i5,where,True
TQ_ICR-D-i6,where,True
TQ_RRE-L-DOOR,where,True
TQ_RRE-L-WIND,where,True
TQ_RRE-N-LAND,what,True
TQ_RRE-L-LAND,where,True
TQ_RRE-N-PORT,what,True
TQ_RRE-L-PORT,where,True
TQ_RRE-N-STRA,what,False
TQ_RRE-L-STRA,where,True
TQ_IRE-N-i1,what,True
TQ_IRE-N-i2,what,False
TQ_IRE-N-i3,what,False
TQ_IRE-N-i4,what,False
TQ_IRE-N-i5,what,False
TQ_IRE-N-i6,what,False
TQ_IRE-U-i1,where,True
TQ_IRE-U-i2,where,True
TQ_IRE-U-i3,where,True
TQ_IRE-U-i4,where,True
TQ_IRE-U-i5,where,True
TQ_IRE-U-i6,where,True
TQ_IRE-D-i1,where,True
TQ_IRE-D-i2,where,True
TQ_IRE-D-i3,where,True
TQ_IRE-D-i4,where,True
TQ_IRE-D-i5,where,False
TQ_IRE-D-i6,where,True
