UID,test,theta,TSVR_hours,Segment,Days_within,Time,Time_squared,Time_log
A010,1,2.7277744,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A010,2,0.4830945,21.9,Early,0.9125,21.9,479.60999999999996,3.131136910560194
A010,3,-0.063471645,80.88,Late,1.1249999999999998,80.88,6541.5743999999995,4.405254760793088
A010,4,0.7356485,145.31,Late,3.8095833333333338,145.31,21114.9961,4.985727658390071
A011,1,0.99576205,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A011,2,0.40040046,24.57,Early,1.02375,24.57,603.6849,3.2414197893030954
A011,3,-0.62277347,72.55,Late,0.7779166666666665,72.55,5263.5025,4.297965447047447
A011,4,-0.48618072,148.85,Late,3.9570833333333333,148.85,22156.3225,5.009634793762673
A012,1,1.5109797,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A012,2,-0.3742091,25.6,Early,1.0666666666666667,25.6,655.3600000000001,3.2809112157876537
A012,3,0.8594104,166.33,Late,4.685416666666668,166.33,27665.668900000004,5.119967910506483
A012,4,-0.57650775,166.87,Late,4.707916666666667,166.87,27845.5969,5.123189870334323
A013,1,0.2579466,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A013,2,-0.576954,24.77,Early,1.0320833333333332,24.77,613.5529,3.2492110246642736
A013,3,0.15941933,79.66,Late,1.0741666666666665,79.66,6345.7155999999995,4.390242789445222
A013,4,-0.50066453,147.13,Late,3.8854166666666665,147.13,21647.2369,4.998090266593961
A014,1,0.9670465,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A014,2,1.7351536,25.66,Early,1.0691666666666666,25.66,658.4356,3.2831643147505627
A014,3,0.37096328,70.56,Late,0.695,70.56,4978.7136,4.270536258640519
A014,4,-0.60555935,148.87,Late,3.957916666666667,148.87,22162.2769,5.009768251656904
A015,1,1.7906865,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A015,2,1.9530646,23.69,Early,0.9870833333333334,23.69,561.2161000000001,3.206398303357088
A015,3,1.7458305,70.59,Late,0.69625,70.59,4982.9481000000005,4.270955399408094
A015,4,0.74841046,146.54,Late,3.8608333333333333,146.54,21473.971599999997,4.9940993254561565
A016,1,1.3865802,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A016,2,0.23833106,32.85,Early,1.3687500000000001,32.85,1079.1225000000002,3.521938999358284
A016,3,-0.063229874,80.64,Late,1.115,80.64,6502.8096000000005,4.402319337941644
A016,4,-1.1086501,150.8,Late,4.038333333333334,150.8,22740.640000000003,5.02256386496153
A017,1,-0.12061626,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A017,2,1.2353034,20.61,Early,0.85875,20.61,424.77209999999997,3.0731561705187946
A017,3,0.18662216,61.28,Late,0.3083333333333333,61.28,3755.2384,4.131640346965797
A017,4,0.04002261,140.49,Late,3.6087500000000006,140.49,19737.440100000003,4.952229043207861
A018,1,0.34396127,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A018,2,-0.10368377,34.03,Early,1.4179166666666667,34.03,1158.0409,3.5562048372093953
A018,3,-0.6740158,83.64,Late,1.24,83.64,6995.6496,4.438406968109989
A018,4,0.015628511,150.87,Late,4.041250000000001,150.87,22761.7569,5.023024891742178
A019,1,-0.44238952,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A019,2,-1.233944,28.69,Early,1.1954166666666668,28.69,823.1161000000001,3.3908102887756684
A019,3,-1.1916012,83.68,Late,1.241666666666667,83.68,7002.342400000001,4.4388794462666645
A019,4,-1.652823,154.76,Late,4.203333333333333,154.76,23950.6576,5.048316361063944
A020,1,-0.036810145,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A020,2,-0.4131784,26.85,Early,1.1187500000000001,26.85,720.9225000000001,3.326832966373293
A020,3,-0.9177355,78.25,Late,1.0154166666666666,78.25,6123.0625,4.37260741275739
A020,4,-2.2843106,145.78,Late,3.829166666666667,145.78,21251.8084,4.9889348671169165
A021,1,1.366235,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A021,2,0.648662,30.21,Early,1.25875,30.21,912.6441000000001,3.440738556282688
A021,3,0.3772473,74.19,Late,0.8462499999999998,74.19,5504.156099999999,4.320018243389936
A021,4,0.77024406,140.39,Late,3.604583333333333,140.39,19709.352099999996,4.951522029603749
A022,1,0.1020859,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A022,2,0.4643598,24.15,Early,1.0062499999999999,24.15,583.2225,3.224857896545748
A022,3,-0.11233316,74.46,Late,0.8574999999999996,74.46,5544.291599999999,4.323602714536165
A022,4,0.0056279004,141.71,Late,3.659583333333334,141.71,20081.724100000003,4.9608145991123
A023,1,0.8812526,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A023,2,-0.48242265,25.63,Early,1.0679166666666666,25.63,656.8969,3.282038399825841
A023,3,0.13040453,72.2,Late,0.7633333333333333,72.2,5212.84,4.293195420967266
A023,4,0.004668119,145.07,Late,3.799583333333333,145.07,21045.3049,4.984085958862719
A024,1,0.33348504,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A024,2,0.10314593,29.57,Early,1.2320833333333334,29.57,874.3849,3.420019135902743
A024,3,0.1529355,91.47,Late,1.56625,91.47,8366.7609,4.526884267589547
A024,4,-0.7700928,145.65,Late,3.8237500000000004,145.65,21213.9225,4.9880487954234605
A025,1,0.99917114,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A025,2,1.6789465,23.33,Early,0.9720833333333333,23.33,544.2888999999999,3.1917101567954314
A025,3,-0.15189764,72.94,Late,0.7941666666666665,72.94,5320.2436,4.303253953508486
A025,4,-1.1388493,137.74,Late,3.494166666666667,137.74,18972.307600000004,4.932601677957155
A026,1,1.0569059,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A026,2,0.062489662,26.48,Early,1.1033333333333333,26.48,701.1904000000001,3.3134584673541485
A026,3,0.7757372,75.46,Late,0.8991666666666663,75.46,5694.211599999999,4.336767728268267
A026,4,-0.26765063,147.65,Late,3.907083333333334,147.65,21800.522500000003,5.001594549444107
A027,1,0.9770042,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A027,2,0.3337341,28.26,Early,1.1775,28.26,798.6276000000001,3.3762213955919784
A027,3,-0.7031997,74.58,Late,0.8624999999999998,74.58,5562.176399999999,4.325191697921343
A027,4,-0.8390413,145.92,Late,3.8349999999999995,145.92,21292.646399999998,4.989888220951467
A028,1,1.5710772,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A028,2,-0.19436406,22.82,Early,0.9508333333333333,22.82,520.7524,3.170525563927154
A028,3,-0.0985842,72.26,Late,0.7658333333333335,72.26,5221.507600000001,4.294014757350668
A028,4,-0.7637951,138.91,Late,3.5429166666666667,138.91,19295.9881,4.940999358745194
A029,1,1.7016916,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A029,2,0.3401657,28.43,Early,1.1845833333333333,28.43,808.2649,3.382014562245381
A029,3,1.2822845,93.26,Late,1.6408333333333334,93.26,8697.4276,4.546056921495585
A029,4,0.7683035,143.14,Late,3.7191666666666663,143.14,20489.059599999997,4.970785049496295
A030,1,0.33380765,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A030,2,1.2043047,32.95,Early,1.3729166666666668,32.95,1085.7025,3.5248888540047054
A030,3,-0.12868379,71.93,Late,0.7520833333333335,71.93,5173.924900000001,4.289500076996142
A030,4,0.33196774,150.46,Late,4.024166666666667,150.46,22638.211600000002,5.020321563685677
A031,1,2.2557483,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A031,2,0.018638758,32.41,Early,1.3504166666666666,32.41,1050.4080999999999,3.508855256368665
A031,3,-0.04251805,71.56,Late,0.7366666666666667,71.56,5120.8336,4.2844138058068815
A031,4,-0.57443035,143.85,Late,3.74875,143.85,20692.8225,4.975698724215359
A032,1,0.8067235,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A032,2,-0.12246857,57.18,Late,0.13749999999999987,57.18,3269.5524,4.063541653067055
A032,3,0.6580906,80.16,Late,1.0949999999999998,80.16,6425.625599999999,4.396422514957614
A032,4,1.5530372,144.51,Late,3.7762499999999997,144.51,20883.140099999997,4.980244812772187
A033,1,0.43369794,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A033,2,0.5100616,29.16,Early,1.215,29.16,850.3056,3.4065165431397553
A033,3,0.9657034,72.6,Late,0.7799999999999997,72.6,5270.759999999999,4.298645025734831
A033,4,-0.40873924,168.33,Late,4.768750000000001,168.33,28334.988900000004,5.131849473677249
A034,1,2.0359054,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A034,2,0.65717703,26.08,Early,1.0866666666666667,26.08,680.1664,3.298795448044074
A034,3,-0.10081277,74.28,Late,0.85,74.28,5517.5184,4.3212144952771245
A034,4,-0.1552254,145.38,Late,3.8125,145.38,21135.344399999998,4.986205980173081
A035,1,-0.06479133,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A035,2,0.7425775,44.76,Early,1.865,44.76,2003.4575999999997,3.8234103470715426
A035,3,-0.4961729,79.98,Late,1.0875000000000001,79.98,6396.800400000001,4.394202210604015
A035,4,-0.98961914,152.47,Late,4.107916666666667,152.47,23247.1009,5.033505108187003
A036,1,1.3283472,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A036,2,-0.15242939,21.63,Early,0.90125,21.63,467.85689999999994,3.119276459645446
A036,3,-0.39740184,71.47,Late,0.7329166666666665,71.47,5107.9609,4.28317268312119
A036,4,-1.0100961,143.85,Late,3.74875,143.85,20692.8225,4.975698724215359
A037,1,1.1801162,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A037,2,1.2522094,23.7,Early,0.9874999999999999,23.7,561.6899999999999,3.2068032436339315
A037,3,0.29365978,72.08,Late,0.7583333333333332,72.08,5195.5264,4.291554731509806
A037,4,-0.16601759,143.66,Late,3.7408333333333332,143.66,20638.1956,4.974386161421135
A038,1,1.2059275,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A038,2,-0.16850944,71.85,Late,0.7487499999999997,71.85,5162.422499999999,4.288402532641213
A038,3,0.9667946,72.86,Late,0.7908333333333332,72.86,5308.5796,4.3021714094244174
A038,4,-0.017467948,152.89,Late,4.125416666666666,152.89,23375.352099999996,5.0362380614757605
A039,1,2.174663,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A039,2,1.3026897,28.65,Early,1.1937499999999999,28.65,820.8224999999999,3.3894621254437345
A039,3,0.567675,98.84,Late,1.8733333333333333,98.84,9769.3456,4.603568904621118
A039,4,0.72307914,246.24,Late,8.015,246.24,60634.1376,5.510359524791073
A040,1,-0.5069201,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A040,2,0.14172223,26.26,Early,1.0941666666666667,26.26,689.5876000000001,3.3054204262683866
A040,3,-1.6828778,71.28,Late,0.725,71.28,5080.838400000001,4.280547465724028
A040,4,-1.6119773,143.53,Late,3.735416666666667,143.53,20600.8609,4.97348709846075
A041,1,1.1962991,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A041,2,-1.1736511,31.78,Early,1.3241666666666667,31.78,1009.9684000000001,3.4898185733156835
A041,3,0.2872409,75.74,Late,0.910833333333333,75.74,5736.547599999999,4.340423084818807
A041,4,0.1290578,141.84,Late,3.6650000000000005,141.84,20118.585600000002,4.961725122726247
A042,1,-0.8806226,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A042,2,-0.99250966,28.93,Early,1.2054166666666666,28.93,836.9449,3.3988613218646075
A042,3,-0.17139933,72.17,Late,0.7620833333333333,72.17,5208.5089,4.292785500895938
A042,4,-1.260689,146.02,Late,3.8391666666666673,146.02,21321.840400000005,4.9905686319459415
A043,1,1.0349586,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A043,2,0.5667534,25.62,Early,1.0675000000000001,25.62,656.3844,3.2816628129669656
A043,3,0.56906503,64.94,Late,0.46083333333333315,64.94,4217.2036,4.188745237643585
A043,4,-0.36708274,149.33,Late,3.977083333333334,149.33,22299.448900000003,5.012832877639743
A044,1,-0.0888245,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A044,2,-0.37333766,47.66,Early,1.9858333333333331,47.66,2271.4755999999998,3.8848573373553763
A044,3,-1.308094,91.63,Late,1.5729166666666663,91.63,8396.0569,4.5286130632659365
A044,4,-1.7971689,155.27,Late,4.224583333333334,155.27,24108.772900000004,5.0515852804252095
A045,1,-0.9017756,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A045,2,-1.0143217,24.66,Early,1.0275,24.66,608.1156,3.2449333591874905
A045,3,-1.1242429,72.23,Late,0.7645833333333334,72.23,5217.1729000000005,4.2936051730729785
A045,4,-1.2476392,151.52,Late,4.068333333333334,151.52,22958.310400000002,5.027295734989363
A046,1,-0.7687857,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A046,2,-1.3034526,24.32,Early,1.0133333333333334,24.32,591.4624,3.2315945972759756
A046,3,-1.624248,73.05,Late,0.7987499999999997,73.05,5336.3025,4.304740540713808
A046,4,-1.154563,147.94,Late,3.919166666666667,147.94,21886.243599999998,5.003543540282499
A047,1,-0.7466336,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A047,2,-0.5145792,23.46,Early,0.9775,23.46,550.3716000000001,3.1970391302590264
A047,3,-1.2429395,76.85,Late,0.957083333333333,76.85,5905.922499999999,4.354783898280007
A047,4,-1.600209,144.22,Late,3.7641666666666667,144.22,20799.4084,4.978249833952101
A048,1,1.0764405,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A048,2,-0.06019045,23.91,Early,0.99625,23.91,571.6881,3.215269329274089
A048,3,0.14282681,81.15,Late,1.1362500000000002,81.15,6585.322500000001,4.408546844483277
A048,4,0.09614354,146.3,Late,3.850833333333334,146.3,21403.690000000002,4.9924713234685845
A049,1,2.1010969,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A049,2,-0.5321013,27.12,Early,1.1300000000000001,27.12,735.4944,3.336481066942464
A049,3,0.37812865,111.38,Late,2.395833333333333,111.38,12405.5044,4.721885985684052
A049,4,0.034191336,168.86,Late,4.790833333333334,168.86,28513.699600000004,5.134974568351863
A050,1,-0.39878848,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A050,2,-0.71372736,24.73,Early,1.0304166666666668,24.73,611.5729,3.2476576262936527
A050,3,-0.9261868,93.39,Late,1.64625,93.39,8721.6921,4.547435135336853
A050,4,-1.1381246,148.69,Late,3.950416666666667,148.69,22108.716099999998,5.008566488927144
A051,1,1.5230782,1.0,Early,0.041666666666666664,1.0,1.0,0.6931471805599453
A051,2,-0.30774206,17.16,Early,0.715,17.16,294.4656,2.8992213731731473
A051,3,-0.6520249,65.63,Late,0.48958333333333304,65.63,4307.296899999999,4.199154926574446
A051,4,-0.72000563,146.99,Late,3.879583333333334,146.99,21606.060100000002,4.997144703913756
