UID,test,theta,TSVR_hours
A061,3,0.27741587,82.55
A061,4,-0.2929151,146.56
A062,1,1.5359104,1.0
A062,2,0.14121151,44.69
A062,3,-0.59946907,92.72
A062,4,-0.7168849,149.18
A063,1,0.86206603,1.0
A063,2,0.7186035,21.98
A063,3,0.17484958,69.99
A063,4,-0.58241045,141.09
A064,1,0.83211017,1.0
A064,2,0.56187433,37.65
A064,3,0.17636402,82.99
A064,4,-0.33321425,156.21
A065,1,-2.2385516,1.0
A065,2,-0.9801161,32.31
A065,3,-2.2205753,106.41
A065,4,-2.3754525,187.43
A066,1,0.46571386,1.0
A066,2,-0.45289963,23.35
A066,3,-0.92944336,73.79
A066,4,-1.2830758,164.93
A067,1,0.6627066,1.0
A067,2,-1.312235,29.91
A067,3,-1.4752139,73.19
A067,4,-1.1757759,144.19
A068,1,1.3038205,1.0
A068,2,0.163223,30.49
A068,3,0.4192529,82.98
A068,4,-0.3906647,155.59
A069,1,-0.7867887,1.0
A069,2,-1.5067587,24.96
A069,3,-0.71302193,79.75
A069,4,-1.7110198,140.22
A070,1,0.5967721,1.0
A070,2,0.042192243,24.25
A070,3,-0.4347659,81.92
A070,4,-1.0469787,149.2
A071,1,1.1001538,1.0
A071,2,0.40058818,30.92
A071,3,-0.86193055,79.96
A071,4,0.1462163,153.27
A072,1,0.9622242,1.0
A072,2,0.37431285,33.76
A072,3,-0.88631296,83.54
A072,4,-0.13873519,154.89
A073,1,0.8751058,1.0
A073,2,-0.48682293,66.66
A073,3,-0.018863132,66.9
A073,4,0.9759681,140.12
A074,1,1.1391835,1.0
A074,2,-0.16370372,29.33
A074,3,-0.85258937,73.02
A074,4,-1.1428367,147.21
A075,1,0.4822121,1.0
A075,2,0.49708104,28.68
A075,3,-1.5457226,71.37
A075,4,-0.5980336,244.53
A076,1,-0.39436588,1.0
A076,2,-0.7679121,27.3
A076,3,-1.2046329,74.88
A076,4,-2.5163941,149.28
A077,1,1.257486,1.0
A077,2,-0.15718071,53.88
A077,3,0.254887,78.36
A077,4,0.58986604,149.75
A078,1,0.05510661,1.0
A078,2,0.07325087,26.17
A078,3,-1.0537938,72.3
A078,4,-1.0697036,140.08
A079,1,0.49688977,1.0
A079,2,-0.40158516,26.11
A079,3,-0.94553256,74.0
A079,4,-0.9119565,194.42
A080,1,0.35685366,1.0
A080,2,0.34285796,29.03
A080,3,0.31786218,72.87
A080,4,-0.8033879,145.77
A081,1,0.56923956,1.0
A081,2,-0.24241331,31.39
A081,3,0.93472326,80.13
A081,4,0.18450806,154.53
A082,1,0.47511065,1.0
A082,2,1.1720833,27.97
A082,3,0.4018064,75.71
A082,4,-0.08527875,170.25
A083,1,1.9135383,1.0
A083,2,0.9028967,25.15
A083,3,0.21852846,74.3
A083,4,-0.03377411,144.91
A084,1,0.37614724,1.0
A084,2,-0.4066572,27.25
A084,3,0.011830099,91.97
A084,4,-0.024996497,162.51
A085,1,0.29977113,1.0
A085,2,1.7130281,24.51
A085,3,-0.14947924,71.4
A085,4,-0.5059031,170.65
A086,1,0.9054527,1.0
A086,2,-0.35819164,23.47
A086,3,-1.1229844,145.29
A086,4,-1.1456217,169.55
A087,1,1.164813,1.0
A087,2,1.112516,31.07
