phase,slope,se,p_value
Practice (T1→T2),-0.003325384364945012,0.0010310195060720308,0.001258248868923833
Forgetting (T2→T4),-0.01896541306236872,0.003093690196618938,8.23106437027054e-08
Difference,0.01564002869742371,0.0032609692201180217,1.6176121577782254e-06
