K,BIC,AIC,Entropy,Converged
1,330.2753891216239,317.2495381916834,1.0,True
2,349.06963242199805,320.41276037612903,0.7417479761012964,True
3,366.8203486400644,322.53245547826685,0.5742898771985425,True
4,366.72333125204733,306.8044169743212,0.6687530389815712,True
