UID,theta_What,theta_Where
A010,1.1964492305313137,1.217593107443674
A011,0.32093997663351187,0.013339948954833258
A012,0.45901072125394415,0.588112225308581
A013,-0.1449281764766377,-0.33767694028007433
A014,1.1808011521642645,0.7473530576505074
A015,2.318353978254855,2.2749103641342354
A016,-0.13506515162923097,0.31891979660261804
A017,0.6094397351462618,0.3512108796747393
A018,-0.29493735017802847,-0.19255398507473742
A019,-1.327923492043962,-1.9987228510444284
A020,-1.2751721021567382,-1.2827294459939445
A021,1.187819770045286,1.0876915990995144
A022,0.02293850383012847,0.15451714315436146
A023,0.15403324033132548,0.12431970465736472
A024,-0.040603701234810975,-0.06978028061220043
A025,0.3086331079342745,0.7412788329456732
A026,0.47558408935165525,0.5969215955518572
A027,-0.19066172370459122,-0.0820996564051052
A028,0.3584005807259321,0.033955227298086164
A029,1.455726068430914,1.6437118665995352
A030,0.39632143213013304,0.6717587656880145
A031,0.6020280900272459,0.5855557455580073
A032,1.1998533515214393,0.9990886541253996
A033,0.5916018003426163,0.29430702560052674
A034,0.7719104785734849,0.8981722806131814
A035,-0.1529099987615061,-0.3424804644343247
A036,0.038321835738707656,-0.2372818170856617
A037,0.9297470004559976,0.9690853572448286
A038,0.7831657099766779,0.613880340535947
A039,1.6259455882969531,1.8587889674986717
A040,-1.399273778795545,-1.3639452216486518
A041,0.13757070685926065,0.1666752750167633
A042,-0.893163547112693,-1.3445876710757751
A043,0.6304730489621552,0.6928337285998629
A044,-1.198305855543005,-1.387783532799415
A045,-1.5042612916384581,-1.6846801887296443
A046,-1.741548380595412,-1.7054756098008752
A047,-1.4572545606523357,-1.4880048375800334
A048,0.5016949756583691,0.4333298131487317
A049,0.6477188291808721,0.759490655052699
A050,-1.3304227873744177,-1.0749134223289853
A051,-0.24430562271015024,0.12673682482513762
A052,0.4151911197135147,-0.2622500073911838
A053,0.5886209904048083,0.6164493072115561
A054,1.4140676463930304,1.5484621098933722
A055,0.24643034653153895,0.12376275031839228
A056,-0.12026634475965778,-0.21394990413699846
A057,-0.46953650453285684,-0.7756196724807216
A058,-0.41501591124622905,-0.3051443260828064
A059,1.596951150381801,1.4100358980989278
A060,0.5580411240679011,0.14325868019419394
A061,1.3388008178574815,1.2582969974959322
A062,0.1340724520792648,0.20248022663423934
A063,0.41984843095198804,0.48701747811773927
A064,0.8011186064819911,0.23839256193210273
A065,-3.0445527953240155,-2.78764725170587
A066,-0.6804674178303779,-0.8554620935406217
A067,-1.124344166519277,-1.3269304198602234
A068,0.6298692151010931,0.5241044931118661
A069,-1.3669398940778172,-1.8986661274679162
A070,-0.09581584288163984,-0.3702858292683427
A071,0.12109747783532725,0.3614780270652566
A072,-0.14202052505422352,0.16778415188941465
A073,0.20410190911296228,0.6375101713812864
A074,-0.8636992581894412,-0.14048752157033623
A075,-0.6136845354063613,-0.2854741008801579
A076,-1.8419306302276732,-1.679811480248397
A077,0.7933244956395196,0.55348025624756
A078,-0.4945042666577921,-0.7858836498897924
A079,-0.7911358528643088,-0.6419851141765773
A080,0.17075675271550228,0.19295781176316257
A081,0.37483057095324035,0.627238418053928
A082,0.8395335481345249,0.6808552636701514
A083,0.7359350629679104,1.29507537709029
A084,-0.40655069352024437,0.10002792866664804
A085,0.36805241682630346,0.45315652693712494
A086,-0.7525236172760403,-0.5500998561025114
A087,0.9469545506414779,0.8582214373887773
A088,2.1617557943439,2.316859438770997
A089,1.0600330434977643,1.2539271885042085
A090,-1.300375615565415,-0.9268754996557741
A091,-0.3406501741373633,-0.532613000704425
A092,-1.1748958674303194,-0.9757476244971353
A093,0.8745503283631373,0.6224090847065877
A094,-1.1960920840248765,-1.3507066406574182
A095,0.12247404905413121,-0.13639130790960516
A096,-2.3219927824201196,-1.802275073116232
A097,0.22585033599230517,0.16170603475437662
A098,0.7550128469944142,0.6233458201854837
A099,0.47503002227752134,1.197000748871071
A100,0.5707886953590006,0.3219147435071821
A101,-1.8897003824327923,-1.577590569949688
A102,0.056740109462285804,-0.03287019700730109
A103,-0.7063094309945224,-0.8129994878709172
A104,0.1452339130042981,0.10690970491547307
A105,0.4120172501654532,0.45699649074362264
A106,1.2880488957451526,1.037626038093154
A107,-1.7150980103981968,-1.854569584146982
A108,-1.4770271989012613,-1.0185917568830538
A109,-1.0737496481277786,-1.0486359267025878
