paradigm,ctt_type,r,CI_lower,CI_upper
IFR,Full,0.790486738307095,0.7506132616910104,0.8246236683540132
IFR,Purified,0.8885509201392359,0.8659431737581067,0.9075349598420623
ICR,Full,0.8838177116684012,0.8603208344293108,0.9035668292084226
ICR,Purified,0.9068251201578148,0.8877039224732335,0.9228235705392525
IRE,Full,0.8170166003483466,0.7815762122336087,0.8471997949608194
IRE,Purified,0.8672886666213515,0.8407315548258909,0.8896829201443394
