paradigm,AIC_IRT,AIC_full,AIC_purified,delta_AIC_full_purified
IFR,1008.326866239172,1056.3374907017906,1089.689656787088,-33.35216608529754
ICR,983.9257532964134,958.4641821944796,963.7509402352808,-5.286758040801033
IRE,975.3122117307688,1005.7137079681296,1012.5474147718696,-6.833706803739915
