paradigm,n_items_full,n_items_purified,alpha_full,alpha_full_CI_lower,alpha_full_CI_upper,alpha_purified,alpha_purified_CI_lower,alpha_purified_CI_upper,alpha_purified_SB_adjusted,delta_alpha
IFR,24,12,0.44198111720657124,0.3445849648864602,0.5215420708247266,0.5839792077966655,0.5239669130572573,0.6336683707471654,0.7373571634301788,0.14199809059009422
ICR,24,19,0.6552774162340333,0.6028565496264788,0.6995699955087102,0.6513027935302932,0.5993095998353938,0.6960674073739052,0.7023232419706952,-0.0039746227037401605
IRE,24,14,0.6075224940971777,0.5474393360189285,0.656345262227665,0.5638347655912058,0.49751677924634546,0.6175655887100673,0.6890617587226167,-0.04368772850597191
